id_venda,vendedor,produto,categoria,quantidade,valor_unitario,data,pagamento
V001,Beatriz,Notebook,Informática,1,3500,2026-06-25,Pix
V002,Juliana,Teclado,Informática,2,150,2026-06-28,Pix
V003,Carlos,Teclado,Informática,2,150,2026-05-14,Boleto
V004,Rafael,Webcam,Acessórios,1,180,2026-06-14,Cartão
V005,Rafael,Webcam,Acessórios,1,180,2026-01-26,Boleto
V006,Ana,Cadeira,Móveis,1,700,2026-02-28,Boleto
V007,Ana,Mouse,Informática,1,80,2026-05-17,Boleto
V008,Beatriz,Mouse,Informática,2,80,2026-01-18,Pix
V009,Ana,Teclado,Informática,1,150,2026-05-12,Boleto
V010,Juliana,Fone,Acessórios,2,220,2026-04-26,Cartão
V011,Beatriz,Monitor,Informática,4,900,2026-03-15,Cartão
V012,Juliana,Webcam,Acessórios,2,180,2026-02-10,Cartão
V013,Beatriz,Mesa,Móveis,4,850,2026-06-26,Pix
V014,Marcos,Teclado,Informática,5,150,2026-06-24,Boleto
V015,Rafael,Mesa,Móveis,5,850,2026-06-24,Cartão
V016,Carlos,Notebook,Informática,4,3500,2026-04-17,Cartão
V017,Juliana,Mesa,Móveis,6,850,2026-06-17,Pix
V018,Juliana,Monitor,Informática,2,900,2026-06-30,Boleto
V019,Marcos,Fone,Acessórios,5,220,2026-06-01,Boleto
V020,Ana,Fone,Acessórios,2,220,2026-07-27,Boleto
V021,Marcos,Mesa,Móveis,3,850,2026-06-02,Cartão
V022,Rafael,Teclado,Informática,2,150,2026-07-12,Cartão
V023,Rafael,Webcam,Acessórios,5,180,2026-04-19,Boleto
V024,Beatriz,Fone,Acessórios,2,220,2026-06-28,Boleto
V025,Beatriz,Teclado,Informática,4,150,2026-04-30,Boleto
V026,Juliana,Monitor,Informática,1,900,2026-06-09,Boleto
V027,Marcos,Fone,Acessórios,2,220,2026-07-14,Boleto
V028,Carlos,Fone,Acessórios,4,220,2026-01-12,Cartão
V029,Carlos,Webcam,Acessórios,5,180,2026-06-04,Cartão
V030,Marcos,Webcam,Acessórios,6,180,2026-05-31,Cartão
V031,Ana,Fone,Acessórios,3,220,2026-01-23,Boleto
V032,Beatriz,Teclado,Informática,2,150,2026-01-15,Cartão
V033,Beatriz,Mouse,Informática,5,80,2026-05-23,Cartão
V034,Beatriz,Cadeira,Móveis,1,700,2026-07-29,Boleto
V035,Rafael,Notebook,Informática,4,3500,2026-02-11,Boleto
V036,Ana,Mouse,Informática,4,80,2026-06-09,Boleto
V037,Marcos,Monitor,Informática,6,900,2026-05-20,Cartão
V038,Rafael,Cadeira,Móveis,5,700,2026-07-17,Boleto
V039,Beatriz,Cadeira,Móveis,5,700,2026-07-10,Cartão
V040,Carlos,Monitor,Informática,4,900,2026-07-30,Pix
V041,Rafael,Monitor,Informática,3,900,2026-03-28,Pix
V042,Juliana,Teclado,Informática,5,150,2026-01-15,Pix
V043,Marcos,Notebook,Informática,4,3500,2026-04-22,Boleto
V044,Rafael,Teclado,Informática,3,150,2026-03-01,Cartão
V045,Beatriz,Mouse,Informática,3,80,2026-02-15,Pix
V046,Ana,Webcam,Acessórios,2,180,2026-03-15,Boleto
V047,Rafael,Cadeira,Móveis,1,700,2026-04-22,Boleto
V048,Beatriz,Mesa,Móveis,3,850,2026-03-07,Boleto
V049,Ana,Fone,Acessórios,1,220,2026-01-18,Pix
V050,Marcos,Cadeira,Móveis,4,700,2026-06-29,Cartão
V051,Juliana,Cadeira,Móveis,6,700,2026-07-31,Pix
V052,Juliana,Webcam,Acessórios,1,180,2026-04-24,Cartão
V053,Carlos,Notebook,Informática,5,3500,2026-04-12,Boleto
V054,Carlos,Teclado,Informática,1,150,2026-06-18,Boleto
V055,Marcos,Notebook,Informática,4,3500,2026-03-30,Pix
V056,Juliana,Mesa,Móveis,3,850,2026-06-29,Boleto
V057,Carlos,Mesa,Móveis,4,850,2026-04-05,Cartão
V058,Marcos,Webcam,Acessórios,6,180,2026-07-01,Cartão
V059,Rafael,Mouse,Informática,1,80,2026-01-10,Pix
V060,Ana,Fone,Acessórios,4,220,2026-02-28,Boleto
V061,Beatriz,Fone,Acessórios,5,220,2026-02-12,Boleto
V062,Rafael,Monitor,Informática,2,900,2026-06-27,Cartão
V063,Marcos,Notebook,Informática,4,3500,2026-02-20,Pix
V064,Juliana,Mesa,Móveis,6,850,2026-06-25,Pix
V065,Carlos,Monitor,Informática,5,900,2026-02-04,Boleto
V066,Marcos,Teclado,Informática,1,150,2026-04-27,Boleto
V067,Ana,Monitor,Informática,2,900,2026-02-08,Cartão
V068,Marcos,Teclado,Informática,6,150,2026-08-02,Cartão
V069,Marcos,Mesa,Móveis,1,850,2026-03-21,Pix
V070,Marcos,Cadeira,Móveis,1,700,2026-07-21,Boleto
V071,Carlos,Mesa,Móveis,4,850,2026-03-17,Boleto
V072,Ana,Notebook,Informática,2,3500,2026-05-07,Boleto
V073,Juliana,Mesa,Móveis,1,850,2026-02-14,Boleto
V074,Beatriz,Fone,Acessórios,1,220,2026-03-08,Boleto
V075,Rafael,Mouse,Informática,1,80,2026-04-05,Cartão
V076,Juliana,Fone,Acessórios,3,220,2026-06-03,Pix
V077,Marcos,Mouse,Informática,2,80,2026-04-12,Cartão
V078,Marcos,Notebook,Informática,4,3500,2026-02-19,Pix
V079,Beatriz,Fone,Acessórios,3,220,2026-02-21,Cartão
V080,Rafael,Teclado,Informática,4,150,2026-06-04,Boleto
V081,Rafael,Mesa,Móveis,6,850,2026-02-16,Cartão
V082,Marcos,Notebook,Informática,1,3500,2026-02-17,Cartão
V083,Ana,Mouse,Informática,6,80,2026-05-23,Cartão
V084,Rafael,Mesa,Móveis,4,850,2026-03-02,Boleto
V085,Ana,Webcam,Acessórios,5,180,2026-05-03,Cartão
V086,Carlos,Mesa,Móveis,1,850,2026-03-16,Boleto
V087,Carlos,Cadeira,Móveis,3,700,2026-04-03,Pix
V088,Marcos,Cadeira,Móveis,1,700,2026-03-23,Boleto
V089,Rafael,Teclado,Informática,4,150,2026-03-22,Pix
V090,Ana,Notebook,Informática,4,3500,2026-02-12,Cartão
V091,Beatriz,Mouse,Informática,3,80,2026-03-29,Boleto
V092,Marcos,Teclado,Informática,1,150,2026-06-28,Cartão
V093,Juliana,Teclado,Informática,5,150,2026-01-28,Boleto
V094,Beatriz,Monitor,Informática,4,900,2026-01-16,Cartão
V095,Ana,Mesa,Móveis,6,850,2026-06-01,Boleto
V096,Marcos,Notebook,Informática,1,3500,2026-01-30,Cartão
V097,Juliana,Teclado,Informática,1,150,2026-02-08,Boleto
V098,Rafael,Teclado,Informática,5,150,2026-08-07,Pix
V099,Rafael,Webcam,Acessórios,3,180,2026-01-22,Boleto
V100,Carlos,Monitor,Informática,2,900,2026-02-12,Boleto
V101,Rafael,Cadeira,Móveis,4,700,2026-06-15,Pix
V102,Marcos,Cadeira,Móveis,3,700,2026-04-16,Boleto
V103,Ana,Fone,Acessórios,4,220,2026-03-15,Cartão
V104,Juliana,Webcam,Acessórios,3,180,2026-08-06,Pix
V105,Beatriz,Mouse,Informática,6,80,2026-01-18,Boleto
V106,Ana,Mouse,Informática,3,80,2026-07-29,Cartão
V107,Beatriz,Notebook,Informática,5,3500,2026-03-16,Cartão
V108,Rafael,Mesa,Móveis,5,850,2026-08-06,Pix
V109,Juliana,Cadeira,Móveis,6,700,2026-04-13,Pix
V110,Ana,Mouse,Informática,3,80,2026-05-02,Cartão
V111,Rafael,Mouse,Informática,1,80,2026-05-03,Cartão
V112,Beatriz,Mouse,Informática,2,80,2026-03-07,Boleto
V113,Rafael,Monitor,Informática,3,900,2026-03-18,Boleto
V114,Juliana,Mesa,Móveis,2,850,2026-06-25,Pix
V115,Ana,Teclado,Informática,6,150,2026-03-07,Boleto
V116,Juliana,Teclado,Informática,5,150,2026-08-06,Cartão
V117,Juliana,Monitor,Informática,5,900,2026-08-02,Cartão
V118,Juliana,Notebook,Informática,4,3500,2026-06-02,Boleto
V119,Juliana,Cadeira,Móveis,1,700,2026-04-01,Boleto
V120,Rafael,Mouse,Informática,4,80,2026-06-12,Cartão
V121,Carlos,Monitor,Informática,4,900,2026-02-08,Pix
V122,Carlos,Notebook,Informática,1,3500,2026-02-16,Boleto
V123,Beatriz,Teclado,Informática,1,150,2026-03-03,Boleto
V124,Ana,Notebook,Informática,3,3500,2026-03-22,Boleto
V125,Carlos,Cadeira,Móveis,2,700,2026-02-26,Boleto
V126,Ana,Mesa,Móveis,5,850,2026-03-25,Cartão
V127,Juliana,Mouse,Informática,2,80,2026-06-11,Cartão
V128,Rafael,Mouse,Informática,1,80,2026-03-29,Cartão
V129,Carlos,Fone,Acessórios,1,220,2026-01-29,Pix
V130,Beatriz,Mesa,Móveis,4,850,2026-06-07,Pix
V013,Beatriz,Mesa,Móveis,4,850,2026-06-26,Pix
V014,Marcos,Teclado,Informática,5,150,2026-06-24,Boleto
V015,Rafael,Mesa,Móveis,5,850,2026-06-24,Cartão
V016,Carlos,Notebook,Informática,4,3500,2026-04-17,Cartão
