aluno,disciplina
Aluno 16,Algoritmos
Aluno 05,Engenharia de Software
Aluno 08,Algoritmos
Aluno 08,Engenharia de Software
Aluno 03,Algoritmos
Aluno 25,Algoritmos
Aluno 23,Python
Aluno 14,Engenharia de Software
Aluno 25,Banco de Dados
Aluno 11,Algoritmos
Aluno 22,Algoritmos
Aluno 03,Banco de Dados
Aluno 18,Algoritmos
Aluno 29,Redes
Aluno 22,Engenharia de Software
Aluno 16,Engenharia de Software
Aluno 23,Algoritmos
Aluno 13,Banco de Dados
Aluno 12,Banco de Dados
Aluno 04,Python
Aluno 12,Redes
Aluno 10,Algoritmos
Aluno 02,Banco de Dados
Aluno 06,Redes
Aluno 03,Redes
Aluno 09,Python
Aluno 21,Engenharia de Software
Aluno 24,Python
Aluno 05,Redes
Aluno 25,Engenharia de Software
Aluno 19,Python
Aluno 17,Python
Aluno 22,Redes
Aluno 15,Engenharia de Software
Aluno 21,Python
Aluno 13,Python
Aluno 05,Algoritmos
Aluno 07,Algoritmos
Aluno 06,Python
Aluno 04,Engenharia de Software
Aluno 25,Python
Aluno 27,Redes
Aluno 02,Engenharia de Software
Aluno 26,Python
Aluno 02,Redes
Aluno 24,Algoritmos
Aluno 19,Algoritmos
Aluno 30,Python
Aluno 20,Banco de Dados
Aluno 12,Python
Aluno 01,Algoritmos
Aluno 16,Redes
Aluno 09,Banco de Dados
Aluno 12,Engenharia de Software
Aluno 29,Engenharia de Software
Aluno 24,Engenharia de Software
Aluno 23,Redes
Aluno 21,Redes
Aluno 09,Redes
Aluno 22,Python
Aluno 02,Python
Aluno 04,Banco de Dados
Aluno 10,Banco de Dados
Aluno 29,Python
Aluno 07,Redes
Aluno 17,Engenharia de Software
Aluno 15,Python
Aluno 30,Algoritmos
Aluno 13,Engenharia de Software
Aluno 15,Redes
Aluno 14,Algoritmos
Aluno 18,Banco de Dados
Aluno 28,Python
Aluno 04,Redes
Aluno 07,Banco de Dados
Aluno 06,Engenharia de Software
Aluno 15,Banco de Dados
Aluno 20,Engenharia de Software
Aluno 11,Engenharia de Software
Aluno 04,Algoritmos
Aluno 30,Engenharia de Software
Aluno 24,Redes
Aluno 01,Banco de Dados
Aluno 02,Algoritmos
Aluno 03,Engenharia de Software
Aluno 05,Banco de Dados
Aluno 06,Algoritmos
Aluno 07,Engenharia de Software
Aluno 08,Banco de Dados
Aluno 09,Algoritmos
Aluno 10,Engenharia de Software
Aluno 25,Algoritmos
Aluno 23,Python
Aluno 14,Engenharia de Software
Aluno 25,Banco de Dados
Aluno 11,Algoritmos
