id_visualizacao,usuario,id_conteudo,visualizacoes,avaliacao
V001,Usuario 28,C03,5,7.0
V002,Usuario 38,C04,8,9.7
V003,Usuario 14,C06,4,5.9
V004,Usuario 05,C08,8,8.0
V005,Usuario 08,C06,4,5.4
V006,Usuario 03,C02,3,8.1
V007,Usuario 32,C05,1,9.5
V008,Usuario 16,C06,1,9.9
V009,Usuario 28,C08,3,7.8
V010,Usuario 01,C08,3,7.0
V011,Usuario 02,C08,2,8.3
V012,Usuario 38,C08,6,9.2
V013,Usuario 07,C06,7,7.3
V014,Usuario 23,C04,4,8.6
V015,Usuario 06,C03,8,5.5
V016,Usuario 30,C02,8,5.9
V017,Usuario 33,C04,2,5.9
V018,Usuario 15,C08,6,8.8
V019,Usuario 05,C07,6,6.5
V020,Usuario 37,C08,1,7.9
V021,Usuario 32,C04,3,5.9
V022,Usuario 34,C06,4,8.3
V023,Usuario 08,C03,1,8.0
V024,Usuario 40,C01,7,5.5
V025,Usuario 38,C02,4,6.7
V026,Usuario 21,C08,7,9.3
V027,Usuario 12,C08,1,9.2
V028,Usuario 16,C02,3,9.9
V029,Usuario 20,C08,3,9.9
V030,Usuario 31,C08,5,7.8
V031,Usuario 35,C02,8,7.6
V032,Usuario 09,C07,7,7.9
V033,Usuario 21,C05,1,6.9
V034,Usuario 32,C07,2,9.6
V035,Usuario 16,C06,3,8.4
V036,Usuario 17,C07,7,7.5
V037,Usuario 13,C02,5,7.8
V038,Usuario 23,C06,5,5.7
V039,Usuario 17,C07,4,7.1
V040,Usuario 40,C08,3,5.7
V041,Usuario 17,C03,3,9.7
V042,Usuario 25,C04,7,7.1
V043,Usuario 32,C03,4,6.6
V044,Usuario 34,C05,2,9.8
V045,Usuario 38,C06,1,6.2
V046,Usuario 23,C08,7,7.6
V047,Usuario 39,C03,6,9.2
V048,Usuario 02,C01,3,7.4
V049,Usuario 37,C07,4,9.6
V050,Usuario 08,C06,2,5.1
V051,Usuario 07,C03,7,5.6
V052,Usuario 16,C01,4,5.1
V053,Usuario 05,C06,6,6.4
V054,Usuario 28,C05,7,6.5
V055,Usuario 26,C07,8,5.4
V056,Usuario 07,C02,6,6.9
V057,Usuario 35,C02,6,6.7
V058,Usuario 33,C03,6,6.8
V059,Usuario 05,C05,3,8.3
V060,Usuario 19,C05,6,7.8
V061,Usuario 26,C08,7,7.3
V062,Usuario 08,C02,5,7.6
V063,Usuario 06,C03,1,5.1
V064,Usuario 05,C05,7,5.1
V065,Usuario 14,C06,5,8.0
V066,Usuario 23,C02,2,9.9
V067,Usuario 05,C04,2,8.4
V068,Usuario 31,C03,2,8.6
V069,Usuario 24,C04,1,5.4
V070,Usuario 13,C04,6,8.5
V071,Usuario 10,C02,5,8.8
V072,Usuario 15,C07,2,7.4
V073,Usuario 01,C01,3,8.0
V074,Usuario 06,C03,4,7.1
V075,Usuario 08,C07,7,6.2
V076,Usuario 31,C07,5,5.3
V077,Usuario 08,C05,8,5.3
V078,Usuario 07,C08,8,6.9
V079,Usuario 32,C08,3,6.5
V080,Usuario 19,C06,5,5.1
V081,Usuario 15,C02,2,7.9
V082,Usuario 08,C03,6,7.0
V083,Usuario 06,C03,4,5.8
V084,Usuario 09,C04,2,7.0
V085,Usuario 39,C04,8,5.8
V086,Usuario 10,C05,2,6.7
V087,Usuario 08,C01,1,9.2
V088,Usuario 25,C04,6,9.9
V089,Usuario 11,C04,1,8.8
V090,Usuario 24,C02,5,9.1
V091,Usuario 24,C01,5,9.5
V092,Usuario 20,C02,3,8.1
V093,Usuario 35,C01,7,5.8
V094,Usuario 11,C04,8,5.0
V095,Usuario 36,C07,5,8.1
V096,Usuario 01,C01,8,5.9
V097,Usuario 29,C08,7,7.2
V098,Usuario 29,C01,1,6.3
V099,Usuario 37,C06,5,6.0
V100,Usuario 25,C06,7,8.9
V101,Usuario 20,C06,1,8.0
V102,Usuario 25,C01,6,8.5
V103,Usuario 15,C06,1,8.2
V104,Usuario 20,C02,8,9.6
V105,Usuario 30,C05,5,7.5
V106,Usuario 13,C07,6,8.8
V107,Usuario 05,C08,8,6.0
V108,Usuario 12,C06,4,9.5
V109,Usuario 07,C04,6,9.8
V110,Usuario 03,C03,1,8.4
V111,Usuario 03,C06,2,6.0
V112,Usuario 23,C07,2,8.7
V113,Usuario 09,C04,4,7.5
V114,Usuario 33,C06,5,8.9
V115,Usuario 34,C07,1,8.8
V116,Usuario 18,C04,2,8.1
V117,Usuario 37,C01,7,5.5
V118,Usuario 06,C01,6,9.3
V119,Usuario 25,C01,4,7.8
V120,Usuario 39,C08,3,5.4
V121,Usuario 11,C02,7,8.5
V122,Usuario 08,C06,1,5.9
V123,Usuario 03,C01,4,5.4
V124,Usuario 24,C01,4,5.1
V125,Usuario 03,C01,2,8.0
V126,Usuario 14,C07,7,9.1
V127,Usuario 31,C05,8,9.5
V128,Usuario 30,C03,5,9.5
V129,Usuario 30,C05,7,8.3
V130,Usuario 10,C07,1,5.4
V131,Usuario 30,C08,1,7.8
V132,Usuario 11,C03,1,10.0
V133,Usuario 19,C05,4,5.2
V134,Usuario 38,C05,4,8.9
V135,Usuario 07,C08,3,8.3
V136,Usuario 12,C05,4,8.1
V137,Usuario 16,C08,3,6.0
V138,Usuario 38,C05,6,9.3
V139,Usuario 09,C02,8,6.0
V140,Usuario 04,C04,6,5.4
V141,Usuario 08,C02,8,7.3
V142,Usuario 10,C03,2,6.6
V143,Usuario 14,C07,7,6.4
V144,Usuario 34,C02,1,7.4
V145,Usuario 02,C03,2,9.8
V146,Usuario 16,C07,2,5.0
V147,Usuario 30,C05,2,6.8
V148,Usuario 04,C07,4,6.0
V149,Usuario 11,C04,4,8.5
V150,Usuario 27,C07,3,9.8
V151,Usuario 35,C07,2,8.2
V152,Usuario 16,C07,4,9.0
V153,Usuario 16,C08,8,6.2
