id_pedido,cliente,id_produto,quantidade,valor_unitario,status,data
P001,Cliente 46,P02,5,2400,Pago,2026-02-05
P002,Cliente 23,P01,2,3500,Cancelado,2026-07-05
P003,Cliente 23,P07,2,150,Pago,2026-07-28
P004,Cliente 27,P03,5,80,Pago,2026-01-05
P005,Cliente 45,P04,1,220,Pago,2026-05-27
P006,Cliente 44,P01,2,3500,Entregue,2026-01-25
P007,Cliente 06,P05,2,900,Entregue,2026-03-01
P008,Cliente 10,P04,2,220,Pago,2026-01-28
P009,Cliente 13,P07,4,150,Cancelado,2026-04-25
P010,Cliente 12,P02,5,2400,Entregue,2026-07-25
P011,Cliente 07,P06,3,1800,Entregue,2026-02-03
P012,Cliente 02,P06,2,1800,Enviado,2026-07-27
P013,Cliente 17,P03,3,80,Entregue,2026-08-01
P014,Cliente 22,P08,3,190,Pago,2026-04-17
P015,Cliente 15,P07,3,150,Enviado,2026-02-20
P016,Cliente 37,P06,1,1800,Pago,2026-04-19
P017,Cliente 15,P06,3,1800,Enviado,2026-05-23
P018,Cliente 01,P01,1,3500,Pago,2026-06-21
P019,Cliente 18,P08,2,190,Enviado,2026-02-23
P020,Cliente 12,P04,1,220,Entregue,2026-02-18
P021,Cliente 32,P02,1,2400,Cancelado,2026-07-15
P022,Cliente 20,P03,1,80,Entregue,2026-01-26
P023,Cliente 25,P05,2,900,Cancelado,2026-05-16
P024,Cliente 04,P05,3,900,Enviado,2026-03-29
P025,Cliente 30,P07,3,150,Enviado,2026-08-04
P026,Cliente 32,P08,2,190,Entregue,2026-07-09
P027,Cliente 13,P06,5,1800,Enviado,2026-02-09
P028,Cliente 20,P01,4,3500,Pago,2026-03-07
P029,Cliente 39,P08,3,190,Cancelado,2026-03-08
P030,Cliente 25,P02,5,2400,Enviado,2026-07-03
P031,Cliente 47,P05,5,900,Entregue,2026-07-07
P032,Cliente 14,P06,5,1800,Enviado,2026-05-13
P033,Cliente 33,P04,1,220,Pago,2026-04-24
P034,Cliente 16,P04,1,220,Entregue,2026-02-20
P035,Cliente 19,P02,1,2400,Cancelado,2026-04-21
P036,Cliente 13,P07,5,150,Entregue,2026-01-29
P037,Cliente 44,P03,4,80,Pago,2026-01-18
P038,Cliente 22,P01,3,3500,Cancelado,2026-08-08
P039,Cliente 50,P03,5,80,Enviado,2026-08-09
P040,Cliente 36,P05,2,900,Pago,2026-05-11
P041,Cliente 18,P03,3,80,Cancelado,2026-05-11
P042,Cliente 46,P08,3,190,Entregue,2026-01-23
P043,Cliente 34,P01,4,3500,Cancelado,2026-01-27
P044,Cliente 39,P04,2,220,Entregue,2026-08-06
P045,Cliente 45,P05,2,900,Pago,2026-05-28
P046,Cliente 21,P08,3,190,Pago,2026-05-15
P047,Cliente 29,P01,2,3500,Entregue,2026-07-21
P048,Cliente 08,P02,1,2400,Enviado,2026-05-14
P049,Cliente 14,P07,5,150,Entregue,2026-03-28
P050,Cliente 16,P02,2,2400,Enviado,2026-06-03
P051,Cliente 44,P05,4,900,Entregue,2026-01-15
P052,Cliente 18,P01,3,3500,Pago,2026-03-08
P053,Cliente 27,P05,5,900,Enviado,2026-04-03
P054,Cliente 04,P06,3,1800,Enviado,2026-01-03
P055,Cliente 15,P07,4,150,Enviado,2026-01-19
P056,Cliente 03,P03,4,80,Entregue,2026-02-01
P057,Cliente 01,P05,4,900,Pago,2026-05-09
P058,Cliente 34,P07,3,150,Cancelado,2026-04-14
P059,Cliente 28,P08,2,190,Pago,2026-02-01
P060,Cliente 19,P07,4,150,Cancelado,2026-06-02
P061,Cliente 28,P04,4,220,Enviado,2026-08-08
P062,Cliente 43,P01,5,3500,Entregue,2026-06-20
P063,Cliente 08,P04,4,220,Cancelado,2026-04-15
P064,Cliente 28,P07,3,150,Cancelado,2026-05-21
P065,Cliente 50,P02,4,2400,Entregue,2026-05-16
P066,Cliente 26,P01,5,3500,Pago,2026-02-21
P067,Cliente 22,P07,3,150,Cancelado,2026-03-02
P068,Cliente 05,P04,1,220,Cancelado,2026-05-11
P069,Cliente 03,P01,5,3500,Entregue,2026-03-12
P070,Cliente 01,P01,1,3500,Cancelado,2026-02-21
P071,Cliente 25,P01,5,3500,Cancelado,2026-01-29
P072,Cliente 49,P02,4,2400,Pago,2026-02-25
P073,Cliente 16,P05,1,900,Entregue,2026-01-05
P074,Cliente 22,P06,4,1800,Entregue,2026-05-30
P075,Cliente 46,P06,4,1800,Pago,2026-03-08
P076,Cliente 28,P07,3,150,Pago,2026-03-04
P077,Cliente 09,P07,5,150,Cancelado,2026-04-13
P078,Cliente 50,P08,1,190,Enviado,2026-06-18
P079,Cliente 44,P02,4,2400,Entregue,2026-07-14
P080,Cliente 27,P01,3,3500,Enviado,2026-04-11
P081,Cliente 48,P04,4,220,Cancelado,2026-05-09
P082,Cliente 38,P08,4,190,Pago,2026-02-25
P083,Cliente 18,P01,5,3500,Entregue,2026-07-22
P084,Cliente 15,P02,3,2400,Entregue,2026-01-06
P085,Cliente 32,P03,5,80,Pago,2026-03-14
P086,Cliente 11,P02,3,2400,Cancelado,2026-05-01
P087,Cliente 32,P06,2,1800,Pago,2026-06-04
P088,Cliente 29,P04,1,220,Enviado,2026-04-13
P089,Cliente 34,P05,1,900,Cancelado,2026-04-02
P090,Cliente 10,P05,5,900,Entregue,2026-02-04
P091,Cliente 27,P02,5,2400,Enviado,2026-01-13
P092,Cliente 44,P04,4,220,Enviado,2026-05-31
