id_registro,estudante,id_curso,modulos_concluidos,percentual_conclusao,nota
M001,Estudante 05,C02,7,23,5.4
M002,Estudante 32,C03,8,14,6.0
M003,Estudante 02,C03,7,48,9.5
M004,Estudante 27,C01,9,24,8.5
M005,Estudante 32,C02,7,17,4.7
M006,Estudante 14,C02,11,64,9.2
M007,Estudante 38,C01,8,66,6.8
M008,Estudante 06,C03,9,69,4.5
M009,Estudante 18,C05,10,95,6.9
M010,Estudante 20,C03,1,75,6.3
M011,Estudante 28,C03,1,56,7.0
M012,Estudante 38,C05,7,20,4.4
M013,Estudante 35,C03,10,30,8.3
M014,Estudante 35,C04,8,20,5.7
M015,Estudante 29,C05,8,21,9.5
M016,Estudante 36,C02,5,31,7.7
M017,Estudante 03,C04,10,1,7.4
M018,Estudante 10,C02,12,73,8.3
M019,Estudante 25,C05,12,73,8.3
M020,Estudante 33,C04,8,55,7.0
M021,Estudante 24,C04,9,65,6.8
M022,Estudante 04,C02,11,19,4.5
M023,Estudante 35,C05,3,74,6.0
M024,Estudante 27,C05,4,59,8.4
M025,Estudante 27,C05,12,9,9.3
M026,Estudante 34,C02,9,54,5.2
M027,Estudante 10,C05,7,87,4.3
M028,Estudante 17,C02,2,28,7.7
M029,Estudante 11,C01,5,66,5.9
M030,Estudante 11,C03,8,66,4.5
M031,Estudante 12,C01,1,36,5.4
M032,Estudante 19,C04,12,67,7.1
M033,Estudante 03,C01,6,23,5.8
M034,Estudante 40,C04,5,30,9.6
M035,Estudante 39,C04,2,14,8.8
M036,Estudante 17,C03,9,31,8.0
M037,Estudante 27,C01,8,44,8.5
M038,Estudante 15,C03,4,69,9.5
M039,Estudante 07,C04,12,78,6.7
M040,Estudante 05,C04,4,49,4.2
M041,Estudante 05,C01,2,73,6.0
M042,Estudante 22,C01,10,55,7.0
M043,Estudante 37,C04,3,5,4.5
M044,Estudante 12,C02,1,49,8.3
M045,Estudante 11,C04,7,89,7.9
M046,Estudante 25,C03,9,80,9.9
M047,Estudante 02,C02,2,74,9.6
M048,Estudante 19,C03,8,8,4.7
M049,Estudante 29,C01,7,17,8.5
M050,Estudante 08,C05,2,82,5.2
M051,Estudante 03,C01,2,68,8.6
M052,Estudante 35,C02,2,86,9.8
M053,Estudante 24,C01,7,39,8.5
M054,Estudante 35,C03,12,74,9.7
M055,Estudante 10,C05,8,9,6.5
M056,Estudante 11,C05,12,85,6.0
M057,Estudante 01,C04,2,72,9.8
M058,Estudante 14,C01,2,91,9.0
M059,Estudante 36,C02,1,12,4.2
M060,Estudante 13,C02,2,83,6.2
M061,Estudante 36,C01,1,97,5.7
M062,Estudante 12,C03,8,3,6.7
M063,Estudante 32,C02,3,94,6.4
M064,Estudante 24,C05,5,43,5.7
M065,Estudante 26,C03,5,79,6.6
M066,Estudante 37,C01,2,65,5.0
M067,Estudante 12,C02,1,93,4.1
M068,Estudante 23,C05,5,31,6.2
M069,Estudante 17,C03,2,24,8.4
M070,Estudante 27,C02,11,17,5.1
M071,Estudante 22,C02,5,55,6.1
M072,Estudante 15,C05,4,41,8.9
M073,Estudante 15,C04,12,38,4.4
M074,Estudante 28,C04,1,59,7.7
M075,Estudante 27,C02,9,12,5.3
M076,Estudante 13,C02,4,28,7.9
M077,Estudante 33,C05,6,81,9.0
M078,Estudante 21,C03,8,79,6.9
M079,Estudante 33,C03,11,23,6.2
M080,Estudante 23,C01,10,8,7.1
M081,Estudante 38,C05,8,75,7.1
M082,Estudante 05,C02,1,99,9.4
M083,Estudante 33,C03,1,82,5.5
M084,Estudante 31,C02,9,6,5.5
M085,Estudante 20,C04,1,37,8.2
M086,Estudante 02,C01,3,32,8.9
M087,Estudante 29,C04,8,60,6.8
M088,Estudante 11,C04,12,19,9.7
M089,Estudante 23,C03,6,35,8.3
M090,Estudante 14,C02,12,90,6.4
M091,Estudante 14,C02,8,66,4.0
M092,Estudante 13,C03,10,9,9.1
M093,Estudante 28,C04,5,10,6.4
M094,Estudante 23,C01,11,40,7.2
M095,Estudante 14,C04,8,56,5.6
M096,Estudante 38,C05,3,75,5.1
M097,Estudante 14,C03,9,7,8.8
M098,Estudante 18,C04,5,84,5.7
M099,Estudante 05,C05,12,42,5.0
M100,Estudante 13,C02,1,77,4.0
M101,Estudante 07,C05,4,31,7.8
M102,Estudante 19,C04,6,51,8.3
M103,Estudante 40,C03,1,85,6.9
M104,Estudante 35,C02,11,43,9.2
M105,Estudante 11,C05,2,24,9.4
M106,Estudante 34,C04,10,55,8.4
M107,Estudante 12,C04,1,48,4.8
M108,Estudante 38,C03,8,92,9.5
M109,Estudante 35,C04,1,46,8.6
M110,Estudante 28,C04,6,47,7.2
M111,Estudante 28,C01,2,6,5.0
M112,Estudante 16,C05,7,71,7.9
M113,Estudante 02,C01,12,77,9.5
M114,Estudante 39,C04,3,97,6.7
M115,Estudante 22,C04,2,9,4.8
M116,Estudante 18,C03,3,68,8.6
M117,Estudante 34,C04,2,94,6.1
M118,Estudante 36,C04,7,8,8.0
M119,Estudante 16,C03,10,23,7.4
M120,Estudante 02,C04,8,31,8.7
M121,Estudante 19,C01,4,25,4.9
M122,Estudante 02,C05,1,100,6.7
M123,Estudante 14,C05,9,62,6.7
M124,Estudante 34,C02,5,32,5.8
M125,Estudante 32,C04,4,19,9.8
M126,Estudante 15,C03,8,98,6.4
M127,Estudante 25,C01,9,9,7.2
M128,Estudante 14,C02,7,96,7.4
M129,Estudante 21,C02,11,13,9.6
M130,Estudante 29,C04,5,63,7.8
M131,Estudante 04,C05,10,46,8.8
M132,Estudante 14,C04,2,85,6.1
M133,Estudante 05,C04,2,79,4.6
M134,Estudante 16,C05,4,0,6.0
M135,Estudante 25,C02,7,0,5.7
M136,Estudante 13,C04,1,10,4.2
M137,Estudante 24,C04,1,68,7.4
M138,Estudante 25,C01,3,72,5.4
M139,Estudante 12,C02,8,53,7.6
M140,Estudante 16,C02,2,57,8.6
M141,Estudante 24,C04,6,0,6.4
M142,Estudante 09,C01,12,97,5.2
M143,Estudante 36,C05,12,24,5.6
M144,Estudante 09,C05,8,46,4.3
M145,Estudante 19,C01,8,85,7.2
M146,Estudante 09,C05,4,45,6.3
M147,Estudante 06,C04,9,23,4.5
M148,Estudante 14,C02,6,56,4.2
M149,Estudante 06,C03,4,10,5.8
M150,Estudante 04,C02,3,20,9.5
M151,Estudante 29,C02,3,71,4.7
M152,Estudante 04,C03,12,96,4.1
M153,Estudante 29,C01,6,78,6.9
M154,Estudante 09,C01,12,91,6.7
M155,Estudante 28,C01,8,98,9.6
M156,Estudante 09,C01,9,100,8.9
M157,Estudante 10,C02,3,89,5.6
M158,Estudante 17,C01,1,72,5.2
M159,Estudante 01,C02,12,15,4.9
M160,Estudante 26,C05,8,72,7.8
M061,Estudante 36,C01,1,97,5.7
M062,Estudante 12,C03,8,3,6.7
M063,Estudante 32,C02,3,94,6.4
M064,Estudante 24,C05,5,43,5.7
