id_treino,aluno,modalidade,exercicio,series,frequencia_semanal
T001,Aluno 03,Crossfit,Esteira,5,29
T002,Aluno 03,Ciclismo,Bicicleta,2,17
T003,Aluno 33,Musculação,Puxada,2,12
T004,Aluno 26,Natação,Supino,4,17
T005,Aluno 04,Ciclismo,Remada,2,40
T006,Aluno 04,Crossfit,Leg Press,5,38
T007,Aluno 22,Natação,Leg Press,2,39
T008,Aluno 20,Natação,Supino,3,32
T009,Aluno 06,Corrida,Agachamento,3,33
T010,Aluno 08,Musculação,Agachamento,5,20
T011,Aluno 03,Musculação,Bicicleta,3,38
T012,Aluno 05,Crossfit,Agachamento,2,17
T013,Aluno 31,Musculação,Remada,4,12
T014,Aluno 38,Crossfit,Remada,5,27
T015,Aluno 20,Musculação,Leg Press,4,7
T016,Aluno 15,Corrida,Esteira,5,31
T017,Aluno 02,Ciclismo,Puxada,5,31
T018,Aluno 22,Crossfit,Supino,5,24
T019,Aluno 01,Ciclismo,Remada,3,16
T020,Aluno 34,Ciclismo,Agachamento,4,30
T021,Aluno 18,Musculação,Agachamento,2,38
T022,Aluno 34,Musculação,Esteira,4,30
T023,Aluno 17,Natação,Esteira,2,35
T024,Aluno 40,Natação,Supino,3,19
T025,Aluno 20,Corrida,Bicicleta,4,32
T026,Aluno 14,Corrida,Supino,2,13
T027,Aluno 25,Natação,Agachamento,2,36
T028,Aluno 10,Ciclismo,Esteira,5,15
T029,Aluno 25,Ciclismo,Puxada,2,31
T030,Aluno 38,Musculação,Bicicleta,3,37
T031,Aluno 15,Corrida,Agachamento,4,6
T032,Aluno 23,Musculação,Agachamento,5,8
T033,Aluno 18,Crossfit,Supino,4,8
T034,Aluno 36,Ciclismo,Puxada,4,40
T035,Aluno 04,Natação,Remada,5,9
T036,Aluno 40,Natação,Bicicleta,5,8
T037,Aluno 34,Natação,Puxada,5,7
T038,Aluno 32,Crossfit,Bicicleta,2,5
T039,Aluno 18,Corrida,Bicicleta,4,18
T040,Aluno 26,Natação,Bicicleta,2,28
T041,Aluno 17,Musculação,Supino,3,34
T042,Aluno 12,Corrida,Puxada,3,16
T043,Aluno 09,Crossfit,Agachamento,2,6
T044,Aluno 14,Crossfit,Esteira,2,35
T045,Aluno 21,Ciclismo,Agachamento,5,35
T046,Aluno 24,Corrida,Esteira,3,5
T047,Aluno 03,Corrida,Puxada,3,7
T048,Aluno 02,Crossfit,Esteira,3,21
T049,Aluno 02,Musculação,Agachamento,4,11
T050,Aluno 02,Crossfit,Leg Press,4,21
T051,Aluno 09,Natação,Esteira,3,30
T052,Aluno 28,Natação,Leg Press,5,23
T053,Aluno 13,Musculação,Esteira,3,29
T054,Aluno 07,Corrida,Supino,5,15
T055,Aluno 34,Crossfit,Supino,4,7
T056,Aluno 26,Crossfit,Remada,2,10
T057,Aluno 29,Ciclismo,Esteira,4,14
T058,Aluno 38,Crossfit,Bicicleta,3,28
T059,Aluno 32,Musculação,Remada,2,33
T060,Aluno 31,Crossfit,Remada,3,5
T061,Aluno 15,Musculação,Leg Press,4,34
T062,Aluno 34,Crossfit,Supino,2,27
T063,Aluno 38,Corrida,Leg Press,5,9
T064,Aluno 26,Corrida,Remada,4,31
T065,Aluno 27,Crossfit,Bicicleta,3,26
T066,Aluno 16,Ciclismo,Agachamento,5,15
T067,Aluno 18,Natação,Bicicleta,2,17
T068,Aluno 06,Natação,Supino,5,13
T069,Aluno 22,Crossfit,Bicicleta,3,35
T070,Aluno 10,Musculação,Puxada,5,5
T071,Aluno 40,Natação,Leg Press,2,23
T072,Aluno 03,Musculação,Bicicleta,5,7
T073,Aluno 16,Musculação,Leg Press,3,31
T074,Aluno 06,Ciclismo,Agachamento,2,30
T075,Aluno 03,Crossfit,Agachamento,3,12
T076,Aluno 16,Ciclismo,Agachamento,4,20
