jogador,time,status
Jogador 01,Balsas FC,Reserva
Jogador 02,Balsas FC,Titular
Jogador 03,Balsas FC,Titular
Jogador 04,Balsas FC,Reserva
Jogador 05,Balsas FC,Titular
Jogador 06,Balsas FC,Titular
Jogador 07,Imperatriz,Reserva
Jogador 08,Imperatriz,Titular
Jogador 09,Imperatriz,Titular
Jogador 10,Imperatriz,Reserva
Jogador 11,Imperatriz,Titular
Jogador 12,Imperatriz,Titular
Jogador 13,Sampaio,Reserva
Jogador 14,Sampaio,Titular
Jogador 15,Sampaio,Titular
Jogador 16,Sampaio,Reserva
Jogador 17,Sampaio,Titular
Jogador 18,Sampaio,Titular
Jogador 19,Moto Club,Reserva
Jogador 20,Moto Club,Titular
Jogador 21,Moto Club,Titular
Jogador 22,Moto Club,Reserva
Jogador 23,Moto Club,Titular
Jogador 24,Moto Club,Titular
Jogador 25,Cordino,Reserva
Jogador 26,Cordino,Titular
Jogador 27,Cordino,Titular
Jogador 28,Cordino,Reserva
Jogador 29,Cordino,Titular
Jogador 30,Cordino,Titular
Jogador 31,Pinheiro,Reserva
Jogador 32,Pinheiro,Titular
Jogador 33,Pinheiro,Titular
Jogador 34,Pinheiro,Reserva
Jogador 35,Pinheiro,Titular
Jogador 36,Pinheiro,Titular
Jogador 37,Tuntum,Reserva
Jogador 38,Tuntum,Titular
Jogador 39,Tuntum,Titular
Jogador 40,Tuntum,Reserva
Jogador 41,Tuntum,Titular
Jogador 42,Tuntum,Titular
Jogador 43,IAPE,Reserva
Jogador 44,IAPE,Titular
Jogador 45,IAPE,Titular
Jogador 46,IAPE,Reserva
Jogador 47,IAPE,Titular
Jogador 48,IAPE,Titular
