id_partida,jogador,gols,condicao
J001,Jogador 17,2,Reserva
J001,Jogador 13,0,Reserva
J001,Jogador 18,2,Reserva
J002,Jogador 38,1,Reserva
J002,Jogador 41,0,Reserva
J002,Jogador 40,1,Titular
J003,Jogador 15,0,Reserva
J003,Jogador 17,2,Reserva
J003,Jogador 16,1,Titular
J003,Jogador 14,1,Titular
J003,Jogador 13,0,Reserva
J003,Jogador 18,2,Titular
J004,Jogador 41,2,Reserva
J004,Jogador 39,2,Reserva
J004,Jogador 40,1,Titular
J004,Jogador 42,0,Titular
J004,Jogador 37,1,Reserva
J004,Jogador 38,2,Reserva
J005,Jogador 41,1,Titular
J005,Jogador 38,1,Reserva
J005,Jogador 37,0,Titular
J005,Jogador 39,1,Titular
J006,Jogador 08,1,Reserva
J006,Jogador 09,1,Titular
J006,Jogador 12,1,Titular
J006,Jogador 11,1,Titular
J007,Jogador 38,2,Titular
J007,Jogador 39,2,Titular
J007,Jogador 41,1,Reserva
J007,Jogador 37,0,Titular
J007,Jogador 40,2,Reserva
J007,Jogador 42,2,Titular
J008,Jogador 32,2,Reserva
J008,Jogador 33,0,Reserva
J008,Jogador 36,2,Titular
J009,Jogador 07,2,Titular
J009,Jogador 11,0,Reserva
J009,Jogador 08,1,Reserva
J009,Jogador 09,2,Titular
J009,Jogador 10,0,Titular
J010,Jogador 09,2,Titular
J010,Jogador 12,2,Titular
J010,Jogador 10,1,Titular
J010,Jogador 11,0,Reserva
J011,Jogador 35,1,Reserva
J011,Jogador 31,0,Reserva
J011,Jogador 34,2,Reserva
J011,Jogador 33,2,Reserva
J012,Jogador 20,2,Reserva
J012,Jogador 22,0,Titular
J012,Jogador 23,1,Reserva
J012,Jogador 24,0,Reserva
J012,Jogador 21,0,Reserva
J013,Jogador 18,2,Titular
J013,Jogador 13,1,Titular
J013,Jogador 15,1,Reserva
J013,Jogador 14,0,Titular
J014,Jogador 13,2,Titular
J014,Jogador 17,2,Titular
J014,Jogador 14,2,Reserva
J015,Jogador 35,2,Reserva
J015,Jogador 31,2,Titular
J015,Jogador 34,2,Titular
J015,Jogador 33,2,Reserva
J015,Jogador 32,1,Reserva
J016,Jogador 43,1,Titular
J016,Jogador 45,2,Titular
J016,Jogador 48,1,Reserva
J016,Jogador 47,0,Titular
J016,Jogador 44,1,Titular
J017,Jogador 43,2,Reserva
J017,Jogador 48,2,Reserva
J017,Jogador 44,0,Titular
J017,Jogador 47,2,Titular
J018,Jogador 36,1,Titular
J018,Jogador 33,2,Reserva
J018,Jogador 34,1,Titular
J018,Jogador 31,1,Reserva
J019,Jogador 37,2,Titular
J019,Jogador 38,1,Reserva
J019,Jogador 39,1,Reserva
J019,Jogador 41,0,Titular
J020,Jogador 26,2,Reserva
J020,Jogador 28,1,Titular
J020,Jogador 25,1,Titular
J020,Jogador 29,0,Reserva
J020,Jogador 30,1,Reserva
J021,Jogador 34,1,Reserva
J021,Jogador 33,0,Reserva
J021,Jogador 36,1,Titular
J021,Jogador 31,0,Titular
J021,Jogador 35,1,Reserva
J022,Jogador 43,0,Reserva
J022,Jogador 44,2,Reserva
J022,Jogador 48,0,Reserva
J022,Jogador 47,0,Reserva
J022,Jogador 46,2,Titular
J022,Jogador 45,2,Titular
J023,Jogador 08,1,Reserva
J023,Jogador 12,0,Reserva
J023,Jogador 07,2,Titular
J023,Jogador 09,0,Titular
J023,Jogador 11,2,Titular
J023,Jogador 10,1,Titular
J024,Jogador 30,2,Reserva
J024,Jogador 28,2,Reserva
J024,Jogador 27,1,Reserva
J024,Jogador 29,2,Titular
J024,Jogador 26,1,Titular
J024,Jogador 25,1,Reserva
J025,Jogador 36,0,Reserva
J025,Jogador 34,0,Titular
J025,Jogador 35,2,Reserva
J026,Jogador 22,2,Reserva
J026,Jogador 20,1,Reserva
J026,Jogador 24,0,Reserva
J026,Jogador 19,2,Reserva
J027,Jogador 34,0,Titular
J027,Jogador 35,2,Titular
J027,Jogador 31,2,Titular
J027,Jogador 32,2,Reserva
J028,Jogador 45,2,Reserva
J028,Jogador 46,2,Titular
J028,Jogador 48,1,Titular
J028,Jogador 44,2,Titular
J028,Jogador 47,0,Reserva
J028,Jogador 43,0,Titular
J029,Jogador 35,1,Reserva
J029,Jogador 36,1,Titular
J029,Jogador 31,2,Titular
J029,Jogador 34,1,Reserva
J029,Jogador 33,2,Titular
J030,Jogador 11,0,Titular
J030,Jogador 10,0,Titular
J030,Jogador 08,0,Reserva
J030,Jogador 07,0,Titular
J031,Jogador 01,1,Titular
J031,Jogador 05,0,Reserva
J031,Jogador 02,1,Reserva
J031,Jogador 03,1,Reserva
J032,Jogador 08,0,Reserva
J032,Jogador 09,0,Titular
J032,Jogador 07,1,Reserva
J032,Jogador 12,1,Titular
J032,Jogador 10,2,Titular
J033,Jogador 41,0,Titular
J033,Jogador 40,2,Reserva
J033,Jogador 38,1,Reserva
J033,Jogador 42,1,Titular
J033,Jogador 39,2,Titular
J033,Jogador 37,0,Reserva
J034,Jogador 01,1,Reserva
J034,Jogador 05,2,Titular
J034,Jogador 06,2,Reserva
J034,Jogador 02,1,Titular
J035,Jogador 41,0,Reserva
J035,Jogador 40,2,Reserva
J035,Jogador 37,0,Titular
J036,Jogador 07,1,Titular
J036,Jogador 08,1,Titular
