id_inscricao,participante,id_evento,cidade,atividade
I001,Participante 25,E01,Balsas,Mesa Redonda
I002,Participante 42,E05,Imperatriz,Palestra
I003,Participante 46,E04,Riachão,Competição
I004,Participante 01,E01,Tasso Fragoso,Competição
I005,Participante 42,E02,Balsas,Competição
I006,Participante 06,E01,Tasso Fragoso,Oficina
I007,Participante 16,E04,Balsas,Oficina
I008,Participante 02,E05,São Luís,Oficina
I009,Participante 17,E03,Balsas,Oficina
I010,Participante 40,E01,Imperatriz,Networking
I011,Participante 31,E02,São Luís,Palestra
I012,Participante 30,E05,Imperatriz,Mesa Redonda
I013,Participante 17,E05,Balsas,Competição
I014,Participante 13,E05,São Luís,Networking
I015,Participante 40,E05,Balsas,Mesa Redonda
I016,Participante 01,E04,Tasso Fragoso,Mesa Redonda
I017,Participante 03,E05,Riachão,Mesa Redonda
I018,Participante 47,E01,São Luís,Oficina
I019,Participante 10,E04,Tasso Fragoso,Competição
I020,Participante 49,E03,Tasso Fragoso,Networking
I021,Participante 06,E03,Riachão,Oficina
I022,Participante 13,E04,Imperatriz,Oficina
I023,Participante 12,E05,Tasso Fragoso,Oficina
I024,Participante 22,E04,Imperatriz,Palestra
I025,Participante 52,E01,Imperatriz,Palestra
I026,Participante 35,E04,Balsas,Palestra
I027,Participante 23,E04,Tasso Fragoso,Palestra
I028,Participante 51,E03,Imperatriz,Mesa Redonda
I029,Participante 29,E05,Tasso Fragoso,Palestra
I030,Participante 18,E02,Balsas,Competição
I031,Participante 33,E05,São Luís,Competição
I032,Participante 57,E01,São Luís,Oficina
I033,Participante 33,E01,Riachão,Palestra
I034,Participante 32,E05,Tasso Fragoso,Palestra
I035,Participante 27,E04,Tasso Fragoso,Oficina
I036,Participante 52,E02,Riachão,Networking
I037,Participante 15,E04,Balsas,Competição
I038,Participante 40,E04,Tasso Fragoso,Mesa Redonda
I039,Participante 10,E05,Imperatriz,Mesa Redonda
I040,Participante 13,E02,Riachão,Oficina
I041,Participante 08,E03,São Luís,Oficina
I042,Participante 43,E04,Balsas,Oficina
I043,Participante 07,E01,Imperatriz,Competição
I044,Participante 46,E01,Riachão,Oficina
I045,Participante 16,E05,Imperatriz,Palestra
I046,Participante 33,E01,Riachão,Competição
I047,Participante 38,E02,Tasso Fragoso,Oficina
I048,Participante 44,E01,Tasso Fragoso,Palestra
I049,Participante 23,E02,Balsas,Mesa Redonda
I050,Participante 56,E05,Riachão,Networking
I051,Participante 05,E01,São Luís,Palestra
I052,Participante 51,E03,São Luís,Competição
I053,Participante 54,E01,Balsas,Palestra
I054,Participante 12,E02,Imperatriz,Competição
I055,Participante 59,E01,Tasso Fragoso,Palestra
I056,Participante 46,E02,Riachão,Networking
I057,Participante 56,E04,Balsas,Networking
I058,Participante 40,E03,Riachão,Palestra
I059,Participante 33,E03,Imperatriz,Networking
I060,Participante 20,E02,São Luís,Oficina
I061,Participante 12,E02,Riachão,Oficina
I062,Participante 30,E02,Imperatriz,Mesa Redonda
I063,Participante 51,E01,Riachão,Oficina
I064,Participante 18,E04,São Luís,Palestra
I065,Participante 58,E04,Riachão,Competição
I066,Participante 24,E03,São Luís,Networking
I067,Participante 37,E01,São Luís,Networking
I068,Participante 47,E04,Tasso Fragoso,Oficina
I069,Participante 07,E05,Riachão,Mesa Redonda
I070,Participante 04,E05,São Luís,Networking
I071,Participante 17,E04,São Luís,Oficina
I072,Participante 58,E03,Balsas,Oficina
I073,Participante 55,E04,Balsas,Mesa Redonda
I074,Participante 01,E01,Imperatriz,Competição
I075,Participante 38,E02,Balsas,Competição
I076,Participante 02,E05,Tasso Fragoso,Oficina
I077,Participante 29,E04,Tasso Fragoso,Networking
I078,Participante 09,E02,Balsas,Oficina
I079,Participante 03,E05,Balsas,Competição
I080,Participante 38,E02,Riachão,Mesa Redonda
I081,Participante 40,E03,Imperatriz,Oficina
I082,Participante 36,E04,Riachão,Competição
I083,Participante 14,E01,Riachão,Networking
I084,Participante 29,E04,Riachão,Networking
I085,Participante 28,E05,Riachão,Palestra
I086,Participante 04,E04,Balsas,Competição
I087,Participante 01,E01,Imperatriz,Competição
I088,Participante 41,E02,Tasso Fragoso,Palestra
I089,Participante 59,E02,São Luís,Competição
I090,Participante 55,E02,Balsas,Networking
I091,Participante 34,E05,São Luís,Competição
I092,Participante 17,E02,Balsas,Mesa Redonda
I093,Participante 42,E05,Tasso Fragoso,Mesa Redonda
I094,Participante 19,E02,Balsas,Mesa Redonda
I095,Participante 36,E01,Riachão,Palestra
I096,Participante 06,E05,Balsas,Networking
I097,Participante 45,E05,Balsas,Competição
I098,Participante 56,E04,Riachão,Palestra
I099,Participante 30,E02,Tasso Fragoso,Competição
I100,Participante 23,E03,Tasso Fragoso,Competição
I101,Participante 20,E04,Balsas,Palestra
I102,Participante 29,E01,São Luís,Competição
I103,Participante 58,E04,Tasso Fragoso,Oficina
I104,Participante 57,E04,Tasso Fragoso,Mesa Redonda
I105,Participante 12,E05,São Luís,Competição
I106,Participante 42,E03,Balsas,Competição
I107,Participante 16,E05,São Luís,Competição
I108,Participante 30,E01,Imperatriz,Competição
I109,Participante 01,E01,Tasso Fragoso,Palestra
I110,Participante 59,E03,Riachão,Networking
I111,Participante 27,E05,Riachão,Oficina
I112,Participante 54,E03,Balsas,Palestra
I113,Participante 57,E05,São Luís,Mesa Redonda
I114,Participante 37,E04,Imperatriz,Oficina
I115,Participante 59,E03,Balsas,Competição
I116,Participante 25,E01,São Luís,Oficina
I117,Participante 37,E04,Riachão,Palestra
I118,Participante 28,E03,Imperatriz,Oficina
I119,Participante 59,E03,São Luís,Mesa Redonda
I120,Participante 44,E01,Riachão,Mesa Redonda
I121,Participante 26,E02,São Luís,Networking
I122,Participante 34,E01,Imperatriz,Networking
I123,Participante 29,E05,Tasso Fragoso,Networking
I124,Participante 48,E02,Balsas,Networking
I125,Participante 50,E03,São Luís,Oficina
I126,Participante 14,E05,São Luís,Competição
I127,Participante 15,E05,Imperatriz,Oficina
I128,Participante 05,E03,Tasso Fragoso,Networking
I129,Participante 60,E01,Balsas,Mesa Redonda
I130,Participante 28,E04,Tasso Fragoso,Competição
I131,Participante 29,E04,Balsas,Networking
I132,Participante 44,E03,Imperatriz,Mesa Redonda
I133,Participante 21,E01,São Luís,Palestra
I134,Participante 39,E04,Imperatriz,Mesa Redonda
I135,Participante 56,E04,São Luís,Mesa Redonda
I136,Participante 12,E05,Imperatriz,Mesa Redonda
I137,Participante 20,E01,Tasso Fragoso,Palestra
I138,Participante 13,E04,Tasso Fragoso,Mesa Redonda
I139,Participante 31,E03,Tasso Fragoso,Competição
I140,Participante 16,E05,São Luís,Networking
I141,Participante 01,E04,Imperatriz,Competição
I142,Participante 39,E04,Riachão,Networking
I143,Participante 36,E02,Tasso Fragoso,Competição
I144,Participante 35,E05,São Luís,Oficina
I145,Participante 19,E04,Balsas,Networking
I146,Participante 18,E04,Riachão,Mesa Redonda
I147,Participante 41,E02,Imperatriz,Networking
I148,Participante 33,E01,Imperatriz,Palestra
I149,Participante 27,E01,Riachão,Oficina
I150,Participante 38,E02,Imperatriz,Oficina
I151,Participante 59,E05,Balsas,Palestra
I152,Participante 23,E02,Tasso Fragoso,Mesa Redonda
I153,Participante 58,E02,Tasso Fragoso,Competição
I154,Participante 36,E02,Balsas,Competição
I155,Participante 22,E05,Tasso Fragoso,Palestra
I156,Participante 60,E03,São Luís,Networking
I157,Participante 23,E05,Tasso Fragoso,Networking
I158,Participante 04,E03,Imperatriz,Competição
I159,Participante 17,E01,Riachão,Palestra
I160,Participante 57,E02,Riachão,Oficina
I161,Participante 14,E01,Tasso Fragoso,Palestra
I162,Participante 57,E02,Imperatriz,Competição
I163,Participante 45,E05,Tasso Fragoso,Palestra
I164,Participante 45,E04,Tasso Fragoso,Palestra
I165,Participante 06,E05,Imperatriz,Networking
I166,Participante 48,E04,Riachão,Mesa Redonda
I167,Participante 37,E05,Balsas,Networking
I168,Participante 39,E04,Balsas,Oficina
I169,Participante 43,E04,Tasso Fragoso,Palestra
I170,Participante 40,E04,Imperatriz,Networking
I171,Participante 45,E05,Tasso Fragoso,Competição
I172,Participante 45,E01,Riachão,Mesa Redonda
I173,Participante 36,E02,Balsas,Oficina
I174,Participante 55,E03,Tasso Fragoso,Oficina
I175,Participante 17,E04,Riachão,Mesa Redonda
I176,Participante 11,E04,Tasso Fragoso,Palestra
I177,Participante 57,E01,Imperatriz,Networking
I178,Participante 43,E05,Imperatriz,Mesa Redonda
I179,Participante 03,E02,Riachão,Mesa Redonda
I180,Participante 13,E05,Riachão,Palestra
I071,Participante 17,E04,São Luís,Oficina
I072,Participante 58,E03,Balsas,Oficina
I073,Participante 55,E04,Balsas,Mesa Redonda
I074,Participante 01,E01,Imperatriz,Competição
I075,Participante 38,E02,Balsas,Competição
