id_pedido,mesa,id_prato,quantidade,valor_unitario,periodo
R001,22,P03,6,28,Almoço
R002,7,P01,1,32,Jantar
R003,14,P05,2,10,Tarde
R004,14,P07,4,18,Almoço
R005,12,P03,1,28,Almoço
R006,17,P02,6,55,Jantar
R007,15,P01,6,32,Almoço
R008,13,P04,6,42,Tarde
R009,19,P04,6,42,Tarde
R010,4,P01,1,32,Tarde
R011,17,P07,1,18,Jantar
R012,9,P03,3,28,Almoço
R013,9,P06,4,8,Jantar
R014,12,P06,1,8,Jantar
R015,20,P04,5,42,Almoço
R016,16,P07,4,18,Jantar
R017,19,P07,5,18,Almoço
R018,16,P03,1,28,Almoço
R019,1,P05,2,10,Almoço
R020,4,P02,5,55,Tarde
R021,13,P01,2,32,Jantar
R022,23,P05,2,10,Jantar
R023,7,P02,6,55,Tarde
R024,21,P06,1,8,Almoço
R025,12,P05,5,10,Almoço
R026,8,P05,2,10,Almoço
R027,15,P03,3,28,Tarde
R028,19,P06,6,8,Almoço
R029,1,P06,5,8,Jantar
R030,10,P01,6,32,Jantar
R031,6,P03,1,28,Almoço
R032,17,P05,5,10,Tarde
R033,9,P05,5,10,Tarde
R034,6,P03,6,28,Jantar
R035,10,P02,3,55,Almoço
R036,23,P07,5,18,Almoço
R037,15,P04,3,42,Almoço
R038,25,P02,4,55,Almoço
R039,23,P07,2,18,Jantar
R040,11,P06,6,8,Jantar
R041,15,P02,5,55,Jantar
R042,8,P05,4,10,Tarde
R043,22,P01,5,32,Jantar
R044,4,P01,1,32,Tarde
R045,13,P05,1,10,Almoço
R046,17,P07,2,18,Tarde
R047,4,P05,4,10,Jantar
R048,2,P04,4,42,Tarde
R049,2,P05,1,10,Tarde
R050,24,P06,2,8,Jantar
R051,18,P02,1,55,Tarde
R052,16,P02,6,55,Almoço
R053,5,P05,1,10,Tarde
R054,6,P05,1,10,Almoço
R055,24,P07,4,18,Jantar
R056,4,P05,3,10,Jantar
R057,22,P06,3,8,Almoço
R058,1,P01,2,32,Almoço
R059,21,P04,3,42,Almoço
R060,3,P04,6,42,Jantar
R061,5,P06,5,8,Almoço
R062,6,P07,3,18,Tarde
R063,20,P06,5,8,Jantar
R064,9,P02,2,55,Jantar
R065,7,P06,4,8,Almoço
R066,10,P05,1,10,Jantar
R067,10,P05,6,10,Jantar
R068,20,P04,3,42,Jantar
R069,12,P06,1,8,Almoço
R070,18,P05,6,10,Tarde
R071,15,P01,3,32,Tarde
R072,21,P01,5,32,Jantar
R073,1,P01,5,32,Tarde
R074,14,P01,3,32,Almoço
R075,2,P05,5,10,Almoço
R076,1,P02,5,55,Almoço
R077,20,P04,2,42,Tarde
R078,19,P06,6,8,Jantar
R079,13,P03,6,28,Almoço
R080,9,P04,6,42,Almoço
R081,24,P01,4,32,Tarde
R082,6,P04,6,42,Tarde
R083,4,P06,3,8,Tarde
R084,13,P05,6,10,Tarde
R085,22,P03,2,28,Tarde
R086,17,P07,1,18,Tarde
R087,24,P04,4,42,Tarde
R088,12,P03,1,28,Jantar
R089,5,P03,5,28,Tarde
R090,10,P01,2,32,Jantar
R091,15,P04,2,42,Almoço
R092,21,P07,1,18,Tarde
R093,7,P04,6,42,Tarde
R094,7,P05,2,10,Tarde
R095,21,P05,5,10,Tarde
R096,4,P04,3,42,Almoço
R097,23,P07,5,18,Tarde
R098,20,P07,6,18,Tarde
R099,1,P02,3,55,Tarde
R100,2,P04,2,42,Jantar
R101,11,P01,1,32,Tarde
R102,19,P03,1,28,Tarde
R103,14,P02,4,55,Jantar
R104,23,P06,1,8,Jantar
R105,25,P07,6,18,Almoço
R106,3,P02,3,55,Almoço
R107,1,P05,2,10,Tarde
R108,10,P07,3,18,Jantar
R109,22,P07,3,18,Jantar
R110,25,P07,6,18,Almoço
R111,15,P02,3,55,Almoço
R112,5,P07,4,18,Tarde
R113,4,P01,4,32,Tarde
R114,8,P01,6,32,Jantar
R115,6,P06,2,8,Tarde
R116,14,P05,2,10,Almoço
R117,17,P04,5,42,Almoço
R118,15,P03,4,28,Tarde
R119,24,P04,1,42,Tarde
R120,11,P06,5,8,Jantar
R121,9,P07,2,18,Tarde
R122,25,P03,4,28,Almoço
R123,1,P04,3,42,Tarde
R124,17,P05,1,10,Jantar
R125,18,P01,3,32,Almoço
R126,24,P02,1,55,Almoço
R127,5,P07,3,18,Almoço
R128,17,P02,3,55,Tarde
R129,11,P01,3,32,Almoço
R130,5,P07,6,18,Almoço
R131,5,P07,6,18,Tarde
R132,25,P04,4,42,Jantar
R133,8,P06,5,8,Almoço
R134,13,P01,6,32,Jantar
R135,11,P02,6,55,Almoço
R136,17,P06,5,8,Tarde
R137,14,P05,5,10,Tarde
R138,20,P04,1,42,Tarde
R139,18,P03,5,28,Tarde
R140,23,P06,1,8,Jantar
R141,2,P01,3,32,Almoço
R142,23,P03,3,28,Almoço
R143,4,P07,3,18,Almoço
R144,21,P03,5,28,Jantar
R145,6,P02,5,55,Jantar
R146,14,P07,3,18,Jantar
R147,20,P06,4,8,Tarde
R148,10,P04,5,42,Tarde
R149,21,P07,2,18,Almoço
R150,6,P02,2,55,Jantar
R151,21,P02,6,55,Almoço
R152,9,P06,1,8,Tarde
R153,19,P07,2,18,Almoço
R154,10,P05,4,10,Tarde
R155,22,P07,1,18,Almoço
R156,8,P07,4,18,Almoço
R157,25,P06,4,8,Jantar
R158,5,P06,2,8,Tarde
R159,20,P02,3,55,Jantar
R160,22,P05,5,10,Jantar
R161,5,P04,5,42,Jantar
R162,23,P04,2,42,Tarde
R163,19,P05,5,10,Almoço
R164,12,P01,4,32,Almoço
R165,5,P04,3,42,Almoço
R166,15,P07,2,18,Tarde
R167,13,P07,3,18,Jantar
R168,2,P03,5,28,Jantar
R169,25,P06,6,8,Tarde
R170,11,P07,3,18,Almoço
R171,22,P03,5,28,Tarde
R172,23,P04,1,42,Tarde
R173,15,P06,1,8,Jantar
R174,6,P07,3,18,Jantar
R175,16,P05,1,10,Almoço
R176,22,P01,2,32,Almoço
R177,16,P01,1,32,Jantar
R178,25,P03,2,28,Almoço
R179,17,P05,2,10,Jantar
R180,20,P06,1,8,Tarde
R091,15,P04,2,42,Almoço
R092,21,P07,1,18,Tarde
R093,7,P04,6,42,Tarde
R094,7,P05,2,10,Tarde
R095,21,P05,5,10,Tarde
