id_entrega,cidade,entregador,regiao,distancia_km,status
E001,Fortaleza dos Nogueiras,Entregador 12,Leste,32,Atrasado
E002,Balsas,Entregador 11,Sul,12,Entregue
E003,Tasso Fragoso,Entregador 12,Leste,26,Entregue
E004,São Raimundo das Mangabeiras,Entregador 09,Centro,1,Entregue
E005,Fortaleza dos Nogueiras,Entregador 07,Centro,39,Cancelado
E006,Riachão,Entregador 04,Sul,9,Entregue
E007,São Raimundo das Mangabeiras,Entregador 06,Sul,30,Atrasado
E008,Riachão,Entregador 06,Centro,2,Cancelado
E009,Tasso Fragoso,Entregador 06,Sul,36,Cancelado
E010,São Raimundo das Mangabeiras,Entregador 11,Sul,1,Entregue
E011,Fortaleza dos Nogueiras,Entregador 04,Norte,31,Entregue
E012,Tasso Fragoso,Entregador 12,Centro,4,Atrasado
E013,São Raimundo das Mangabeiras,Entregador 09,Norte,28,Atrasado
E014,Riachão,Entregador 08,Leste,21,Atrasado
E015,São Raimundo das Mangabeiras,Entregador 12,Oeste,25,Atrasado
E016,Fortaleza dos Nogueiras,Entregador 04,Norte,12,Entregue
E017,São Raimundo das Mangabeiras,Entregador 08,Centro,40,Entregue
E018,Tasso Fragoso,Entregador 02,Leste,16,Entregue
E019,Balsas,Entregador 14,Norte,24,Entregue
E020,Fortaleza dos Nogueiras,Entregador 11,Oeste,5,Cancelado
E021,Balsas,Entregador 02,Norte,22,Entregue
E022,Riachão,Entregador 13,Norte,5,Entregue
E023,Fortaleza dos Nogueiras,Entregador 09,Norte,36,Entregue
E024,São Raimundo das Mangabeiras,Entregador 13,Sul,13,Entregue
E025,Fortaleza dos Nogueiras,Entregador 01,Norte,14,Atrasado
E026,Balsas,Entregador 14,Centro,6,Entregue
E027,Balsas,Entregador 14,Centro,1,Atrasado
E028,Balsas,Entregador 05,Oeste,38,Cancelado
E029,Balsas,Entregador 10,Leste,27,Atrasado
E030,São Raimundo das Mangabeiras,Entregador 02,Norte,17,Entregue
E031,São Raimundo das Mangabeiras,Entregador 04,Sul,33,Atrasado
E032,Balsas,Entregador 04,Leste,2,Cancelado
E033,Balsas,Entregador 08,Norte,40,Atrasado
E034,Riachão,Entregador 03,Oeste,24,Entregue
E035,São Raimundo das Mangabeiras,Entregador 08,Norte,39,Atrasado
E036,Riachão,Entregador 08,Oeste,32,Entregue
E037,Fortaleza dos Nogueiras,Entregador 08,Sul,41,Entregue
E038,São Raimundo das Mangabeiras,Entregador 08,Leste,42,Atrasado
E039,São Raimundo das Mangabeiras,Entregador 06,Norte,23,Atrasado
E040,Fortaleza dos Nogueiras,Entregador 07,Centro,41,Entregue
E041,Riachão,Entregador 10,Leste,30,Cancelado
E042,Fortaleza dos Nogueiras,Entregador 10,Centro,3,Entregue
E043,Balsas,Entregador 09,Leste,33,Cancelado
E044,São Raimundo das Mangabeiras,Entregador 01,Centro,12,Entregue
