id_reproducao,usuario,id_musica,quantidade
R001,Ouvinte 48,M03,12
R002,Ouvinte 20,M07,19
R003,Ouvinte 38,M09,19
R004,Ouvinte 16,M02,7
R005,Ouvinte 28,M08,6
R006,Ouvinte 39,M07,16
R007,Ouvinte 20,M07,20
R008,Ouvinte 19,M06,14
R009,Ouvinte 50,M06,9
R010,Ouvinte 12,M01,11
R011,Ouvinte 27,M03,20
R012,Ouvinte 50,M01,13
R013,Ouvinte 45,M05,5
R014,Ouvinte 21,M02,3
R015,Ouvinte 45,M12,18
R016,Ouvinte 18,M12,18
R017,Ouvinte 09,M07,12
R018,Ouvinte 10,M12,20
R019,Ouvinte 10,M01,8
R020,Ouvinte 30,M06,11
R021,Ouvinte 14,M09,4
R022,Ouvinte 23,M01,9
R023,Ouvinte 21,M12,6
R024,Ouvinte 29,M10,13
R025,Ouvinte 12,M09,16
R026,Ouvinte 12,M08,5
R027,Ouvinte 37,M08,2
R028,Ouvinte 12,M04,6
R029,Ouvinte 28,M12,14
R030,Ouvinte 17,M02,11
R031,Ouvinte 04,M11,12
R032,Ouvinte 39,M11,12
R033,Ouvinte 34,M03,20
R034,Ouvinte 49,M12,12
R035,Ouvinte 05,M12,3
R036,Ouvinte 25,M06,11
R037,Ouvinte 43,M06,18
R038,Ouvinte 09,M01,12
R039,Ouvinte 31,M05,7
R040,Ouvinte 31,M10,14
R041,Ouvinte 04,M02,1
R042,Ouvinte 35,M12,3
R043,Ouvinte 38,M11,15
R044,Ouvinte 34,M04,12
R045,Ouvinte 05,M09,7
R046,Ouvinte 02,M03,12
R047,Ouvinte 17,M04,13
R048,Ouvinte 28,M09,3
R049,Ouvinte 32,M09,17
R050,Ouvinte 33,M09,6
R051,Ouvinte 05,M08,20
R052,Ouvinte 40,M05,16
R053,Ouvinte 39,M06,12
R054,Ouvinte 28,M06,15
R055,Ouvinte 05,M02,15
R056,Ouvinte 41,M11,18
R057,Ouvinte 30,M05,10
R058,Ouvinte 07,M01,9
R059,Ouvinte 14,M03,17
R060,Ouvinte 12,M12,16
R061,Ouvinte 48,M08,18
R062,Ouvinte 27,M12,9
R063,Ouvinte 29,M03,1
R064,Ouvinte 20,M10,2
R065,Ouvinte 15,M04,11
R066,Ouvinte 40,M07,15
R067,Ouvinte 41,M08,7
R068,Ouvinte 43,M07,16
R069,Ouvinte 46,M06,5
R070,Ouvinte 14,M08,9
R071,Ouvinte 21,M09,17
R072,Ouvinte 20,M04,9
R073,Ouvinte 43,M05,12
R074,Ouvinte 45,M09,2
R075,Ouvinte 27,M11,16
R076,Ouvinte 30,M06,15
R077,Ouvinte 36,M04,10
R078,Ouvinte 01,M12,16
R079,Ouvinte 43,M02,3
R080,Ouvinte 14,M05,18
R081,Ouvinte 45,M05,4
R082,Ouvinte 06,M08,1
R083,Ouvinte 29,M03,2
R084,Ouvinte 20,M06,14
R085,Ouvinte 07,M07,12
R086,Ouvinte 44,M05,19
R087,Ouvinte 46,M05,11
R088,Ouvinte 02,M07,4
R089,Ouvinte 01,M07,15
R090,Ouvinte 18,M10,4
R091,Ouvinte 05,M06,15
R092,Ouvinte 25,M04,5
R093,Ouvinte 13,M11,3
R094,Ouvinte 38,M09,12
R095,Ouvinte 18,M04,13
R096,Ouvinte 36,M10,8
R097,Ouvinte 31,M11,10
R098,Ouvinte 36,M06,2
R099,Ouvinte 43,M10,15
R100,Ouvinte 02,M05,6
R101,Ouvinte 49,M12,15
