protocolo,cliente,categoria,atendente,prioridade,status,tempo_min
C001,Cliente 43,Técnico,Atendente 12,Baixa,Escalado,129
C002,Cliente 08,Dúvida,Atendente 01,Alta,Aberto,21
C003,Cliente 08,Cadastro,Atendente 06,Baixa,Aberto,165
C004,Cliente 08,Reclamação,Atendente 06,Baixa,Resolvido,53
C005,Cliente 15,Entrega,Atendente 07,Média,Aberto,109
C006,Cliente 48,Cadastro,Atendente 12,Média,Aberto,15
C007,Cliente 21,Cadastro,Atendente 06,Alta,Resolvido,94
C008,Cliente 15,Financeiro,Atendente 09,Baixa,Resolvido,170
C009,Cliente 34,Entrega,Atendente 02,Alta,Resolvido,46
C010,Cliente 37,Técnico,Atendente 06,Alta,Aberto,30
C011,Cliente 20,Reclamação,Atendente 07,Alta,Aberto,163
C012,Cliente 30,Entrega,Atendente 06,Baixa,Resolvido,86
C013,Cliente 42,Entrega,Atendente 03,Alta,Escalado,61
C014,Cliente 23,Dúvida,Atendente 07,Baixa,Resolvido,119
C015,Cliente 13,Técnico,Atendente 06,Média,Aberto,127
C016,Cliente 23,Reclamação,Atendente 12,Alta,Aberto,16
C017,Cliente 38,Reclamação,Atendente 09,Alta,Escalado,67
C018,Cliente 50,Reclamação,Atendente 08,Média,Resolvido,60
C019,Cliente 39,Dúvida,Atendente 01,Alta,Aberto,94
C020,Cliente 12,Financeiro,Atendente 11,Média,Aberto,156
C021,Cliente 37,Técnico,Atendente 09,Alta,Escalado,52
C022,Cliente 03,Técnico,Atendente 07,Alta,Resolvido,152
C023,Cliente 46,Entrega,Atendente 04,Baixa,Resolvido,18
C024,Cliente 41,Técnico,Atendente 07,Média,Resolvido,40
C025,Cliente 24,Técnico,Atendente 03,Baixa,Escalado,54
C026,Cliente 39,Técnico,Atendente 09,Média,Aberto,115
C027,Cliente 41,Financeiro,Atendente 10,Baixa,Resolvido,57
C028,Cliente 04,Reclamação,Atendente 04,Média,Resolvido,174
C029,Cliente 48,Técnico,Atendente 04,Média,Escalado,46
C030,Cliente 04,Dúvida,Atendente 08,Baixa,Aberto,107
C031,Cliente 27,Reclamação,Atendente 05,Alta,Escalado,102
C032,Cliente 19,Técnico,Atendente 06,Alta,Escalado,142
C033,Cliente 03,Técnico,Atendente 11,Alta,Aberto,142
C034,Cliente 44,Entrega,Atendente 03,Média,Resolvido,11
C035,Cliente 03,Técnico,Atendente 11,Baixa,Escalado,138
C036,Cliente 18,Dúvida,Atendente 11,Alta,Escalado,154
C037,Cliente 34,Cadastro,Atendente 10,Alta,Escalado,65
C038,Cliente 38,Dúvida,Atendente 10,Baixa,Resolvido,57
C039,Cliente 11,Entrega,Atendente 08,Baixa,Aberto,34
C040,Cliente 03,Dúvida,Atendente 03,Baixa,Resolvido,139
C041,Cliente 08,Reclamação,Atendente 02,Alta,Escalado,57
C042,Cliente 44,Cadastro,Atendente 10,Média,Resolvido,5
C043,Cliente 50,Cadastro,Atendente 04,Média,Escalado,147
C044,Cliente 39,Cadastro,Atendente 03,Média,Resolvido,92
C045,Cliente 12,Entrega,Atendente 09,Média,Escalado,59
C046,Cliente 47,Financeiro,Atendente 07,Média,Aberto,91
C047,Cliente 49,Financeiro,Atendente 04,Baixa,Escalado,133
C048,Cliente 17,Reclamação,Atendente 06,Alta,Escalado,98
C049,Cliente 46,Dúvida,Atendente 12,Baixa,Resolvido,81
C050,Cliente 03,Reclamação,Atendente 09,Alta,Resolvido,123
C051,Cliente 50,Dúvida,Atendente 11,Alta,Aberto,19
C052,Cliente 34,Dúvida,Atendente 11,Alta,Escalado,157
C053,Cliente 41,Financeiro,Atendente 05,Alta,Aberto,111
C054,Cliente 07,Reclamação,Atendente 10,Alta,Escalado,87
C055,Cliente 37,Reclamação,Atendente 04,Média,Aberto,93
C056,Cliente 13,Financeiro,Atendente 01,Média,Escalado,146
C057,Cliente 37,Entrega,Atendente 01,Baixa,Resolvido,33
C058,Cliente 09,Técnico,Atendente 06,Alta,Escalado,23
C059,Cliente 01,Cadastro,Atendente 08,Média,Aberto,102
C060,Cliente 13,Técnico,Atendente 11,Baixa,Resolvido,174
C061,Cliente 18,Técnico,Atendente 09,Média,Escalado,170
C062,Cliente 39,Reclamação,Atendente 08,Média,Resolvido,28
C063,Cliente 34,Reclamação,Atendente 02,Baixa,Resolvido,132
C064,Cliente 46,Entrega,Atendente 09,Baixa,Escalado,164
C065,Cliente 20,Reclamação,Atendente 05,Baixa,Resolvido,3
C066,Cliente 24,Entrega,Atendente 02,Alta,Escalado,119
C067,Cliente 48,Técnico,Atendente 12,Baixa,Escalado,105
C068,Cliente 38,Reclamação,Atendente 07,Alta,Resolvido,101
C069,Cliente 37,Entrega,Atendente 02,Alta,Resolvido,179
C070,Cliente 06,Reclamação,Atendente 08,Baixa,Resolvido,17
C071,Cliente 35,Reclamação,Atendente 11,Alta,Aberto,175
C072,Cliente 36,Entrega,Atendente 04,Média,Aberto,150
C073,Cliente 05,Reclamação,Atendente 07,Baixa,Escalado,160
C074,Cliente 39,Técnico,Atendente 08,Baixa,Aberto,145
C075,Cliente 24,Técnico,Atendente 04,Baixa,Aberto,86
C076,Cliente 09,Dúvida,Atendente 06,Baixa,Escalado,163
C077,Cliente 49,Dúvida,Atendente 06,Baixa,Escalado,106
C078,Cliente 16,Financeiro,Atendente 10,Alta,Aberto,91
C079,Cliente 30,Reclamação,Atendente 05,Alta,Escalado,25
C080,Cliente 10,Cadastro,Atendente 11,Alta,Escalado,136
C081,Cliente 05,Cadastro,Atendente 07,Baixa,Escalado,103
C082,Cliente 15,Cadastro,Atendente 12,Alta,Escalado,44
C083,Cliente 09,Cadastro,Atendente 04,Alta,Aberto,63
C084,Cliente 10,Entrega,Atendente 07,Média,Resolvido,46
