id_reserva,hospede,id_quarto,entrada,saida,quantidade_hospedes,status
R001,Hospede 01,Q07,2026-03-24,2026-03-26,3,Cancelada
R002,Hospede 32,Q06,2026-01-11,2026-01-14,4,Cancelada
R003,Hospede 17,Q07,2026-02-24,2026-03-02,2,Finalizada
R004,Hospede 38,Q06,2026-05-28,2026-06-04,4,Finalizada
R005,Hospede 18,Q08,2026-07-08,2026-07-13,4,Confirmada
R006,Hospede 35,Q08,2026-05-22,2026-05-23,1,Finalizada
R007,Hospede 49,Q02,2026-03-24,2026-03-25,2,Cancelada
R008,Hospede 11,Q02,2026-04-21,2026-04-28,2,Finalizada
R009,Hospede 47,Q04,2026-07-11,2026-07-14,2,Finalizada
R010,Hospede 49,Q04,2026-07-01,2026-07-02,1,Finalizada
R011,Hospede 25,Q03,2026-01-21,2026-01-25,3,Cancelada
R012,Hospede 30,Q05,2026-06-17,2026-06-20,1,Confirmada
R013,Hospede 08,Q03,2026-01-01,2026-01-04,2,Confirmada
R014,Hospede 05,Q05,2026-07-10,2026-07-15,1,Finalizada
R015,Hospede 46,Q08,2026-01-24,2026-01-26,4,Confirmada
R016,Hospede 43,Q05,2026-05-13,2026-05-17,2,Confirmada
R017,Hospede 03,Q05,2026-06-21,2026-06-25,4,Cancelada
R018,Hospede 42,Q07,2026-03-30,2026-04-07,3,Cancelada
R019,Hospede 41,Q04,2026-05-22,2026-05-28,1,Confirmada
R020,Hospede 33,Q05,2026-03-26,2026-04-03,1,Confirmada
R021,Hospede 14,Q02,2026-07-01,2026-07-08,2,Finalizada
R022,Hospede 06,Q01,2026-03-17,2026-03-18,1,Confirmada
R023,Hospede 46,Q01,2026-01-16,2026-01-21,2,Finalizada
R024,Hospede 21,Q04,2026-01-16,2026-01-24,3,Finalizada
R025,Hospede 02,Q04,2026-05-09,2026-05-13,2,Finalizada
R026,Hospede 38,Q08,2026-02-19,2026-02-25,4,Confirmada
R027,Hospede 08,Q05,2026-02-24,2026-02-28,3,Finalizada
R028,Hospede 22,Q04,2026-03-21,2026-03-26,2,Cancelada
R029,Hospede 11,Q01,2026-05-03,2026-05-06,1,Confirmada
R030,Hospede 40,Q08,2026-02-27,2026-03-01,1,Confirmada
R031,Hospede 01,Q05,2026-01-17,2026-01-25,2,Cancelada
R032,Hospede 38,Q04,2026-01-10,2026-01-12,3,Finalizada
R033,Hospede 42,Q01,2026-05-19,2026-05-23,1,Confirmada
R034,Hospede 16,Q05,2026-05-25,2026-05-26,4,Finalizada
R035,Hospede 36,Q06,2026-05-16,2026-05-21,5,Cancelada
R036,Hospede 32,Q02,2026-06-14,2026-06-20,2,Confirmada
R037,Hospede 47,Q04,2026-04-29,2026-05-01,3,Finalizada
R038,Hospede 37,Q03,2026-05-09,2026-05-16,3,Finalizada
R039,Hospede 02,Q08,2026-06-19,2026-06-22,1,Confirmada
R040,Hospede 19,Q02,2026-05-09,2026-05-11,2,Cancelada
R041,Hospede 04,Q08,2026-06-24,2026-07-01,1,Cancelada
R042,Hospede 06,Q07,2026-06-06,2026-06-09,4,Confirmada
R043,Hospede 46,Q05,2026-04-10,2026-04-12,4,Cancelada
R044,Hospede 35,Q08,2026-04-23,2026-04-27,3,Confirmada
R045,Hospede 24,Q04,2026-06-04,2026-06-09,1,Cancelada
R046,Hospede 37,Q08,2026-03-09,2026-03-10,2,Finalizada
R047,Hospede 05,Q08,2026-05-14,2026-05-15,4,Finalizada
R048,Hospede 11,Q07,2026-03-12,2026-03-16,1,Confirmada
R049,Hospede 42,Q04,2026-05-19,2026-05-27,2,Cancelada
R050,Hospede 18,Q04,2026-07-03,2026-07-05,2,Finalizada
R051,Hospede 43,Q03,2026-05-01,2026-05-09,1,Finalizada
R052,Hospede 48,Q07,2026-04-27,2026-04-28,4,Confirmada
R053,Hospede 31,Q02,2026-06-19,2026-06-23,1,Confirmada
R054,Hospede 10,Q01,2026-07-12,2026-07-14,2,Cancelada
R055,Hospede 31,Q05,2026-04-02,2026-04-03,3,Confirmada
R056,Hospede 14,Q03,2026-02-02,2026-02-05,3,Confirmada
R057,Hospede 37,Q06,2026-04-02,2026-04-10,4,Cancelada
R058,Hospede 14,Q03,2026-06-24,2026-06-29,2,Cancelada
R059,Hospede 24,Q02,2026-02-04,2026-02-07,1,Confirmada
R060,Hospede 18,Q08,2026-02-20,2026-02-28,3,Confirmada
R061,Hospede 41,Q07,2026-03-27,2026-04-04,2,Confirmada
R062,Hospede 30,Q03,2026-03-04,2026-03-11,2,Cancelada
R063,Hospede 10,Q01,2026-07-04,2026-07-07,2,Finalizada
R064,Hospede 01,Q01,2026-05-14,2026-05-19,1,Confirmada
R065,Hospede 25,Q03,2026-06-20,2026-06-25,2,Cancelada
R066,Hospede 10,Q02,2026-02-18,2026-02-22,1,Cancelada
R067,Hospede 25,Q07,2026-02-24,2026-02-27,2,Confirmada
R068,Hospede 30,Q07,2026-01-21,2026-01-25,2,Finalizada
R069,Hospede 48,Q08,2026-06-09,2026-06-17,1,Cancelada
R070,Hospede 21,Q04,2026-06-05,2026-06-11,2,Confirmada
R071,Hospede 07,Q05,2026-01-25,2026-02-02,3,Finalizada
R072,Hospede 06,Q03,2026-01-15,2026-01-18,3,Confirmada
R073,Hospede 01,Q08,2026-03-22,2026-03-25,2,Cancelada
R074,Hospede 09,Q05,2026-02-07,2026-02-10,5,Confirmada
R075,Hospede 50,Q01,2026-04-12,2026-04-15,1,Confirmada
R076,Hospede 50,Q05,2026-04-13,2026-04-19,5,Confirmada
R077,Hospede 12,Q01,2026-01-26,2026-01-29,1,Cancelada
R078,Hospede 34,Q08,2026-07-08,2026-07-14,3,Finalizada
R079,Hospede 16,Q08,2026-06-29,2026-07-03,1,Confirmada
R080,Hospede 34,Q05,2026-02-14,2026-02-16,1,Confirmada
R081,Hospede 23,Q07,2026-06-01,2026-06-06,4,Confirmada
R082,Hospede 30,Q07,2026-03-31,2026-04-03,1,Cancelada
R083,Hospede 10,Q01,2026-03-04,2026-03-05,2,Finalizada
R084,Hospede 06,Q08,2026-06-26,2026-06-30,1,Cancelada
R085,Hospede 25,Q05,2026-02-06,2026-02-10,1,Confirmada
R086,Hospede 50,Q08,2026-02-18,2026-02-19,2,Finalizada
R087,Hospede 09,Q06,2026-06-01,2026-06-03,1,Finalizada
R088,Hospede 33,Q02,2026-04-30,2026-05-05,1,Confirmada
R089,Hospede 09,Q03,2026-01-02,2026-01-07,3,Cancelada
R090,Hospede 22,Q05,2026-07-15,2026-07-20,1,Finalizada
R091,Hospede 39,Q02,2026-05-31,2026-06-07,1,Cancelada
R092,Hospede 32,Q03,2026-03-25,2026-03-27,1,Cancelada
R093,Hospede 16,Q01,2026-04-27,2026-05-05,1,Cancelada
R094,Hospede 46,Q08,2026-06-29,2026-06-30,1,Confirmada
R095,Hospede 25,Q01,2026-01-16,2026-01-19,2,Finalizada
R096,Hospede 07,Q08,2026-01-17,2026-01-24,1,Cancelada
R097,Hospede 19,Q08,2026-07-10,2026-07-16,4,Confirmada
R098,Hospede 38,Q07,2026-01-13,2026-01-16,1,Finalizada
R099,Hospede 40,Q02,2026-06-23,2026-06-28,2,Cancelada
R100,Hospede 12,Q04,2026-03-07,2026-03-11,1,Finalizada
R101,Hospede 23,Q05,2026-03-18,2026-03-26,5,Confirmada
R102,Hospede 11,Q01,2026-03-25,2026-03-28,2,Cancelada
R103,Hospede 33,Q08,2026-01-02,2026-01-07,3,Confirmada
R104,Hospede 06,Q07,2026-02-04,2026-02-09,3,Finalizada
R105,Hospede 40,Q05,2026-05-20,2026-05-21,3,Cancelada
R106,Hospede 46,Q02,2026-05-17,2026-05-25,1,Confirmada
R107,Hospede 45,Q07,2026-04-18,2026-04-26,1,Confirmada
R108,Hospede 08,Q08,2026-04-29,2026-05-05,4,Confirmada
R109,Hospede 25,Q04,2026-06-11,2026-06-19,3,Confirmada
R110,Hospede 02,Q05,2026-03-13,2026-03-18,1,Confirmada
R111,Hospede 46,Q05,2026-03-29,2026-03-30,1,Cancelada
R112,Hospede 26,Q05,2026-03-18,2026-03-24,1,Finalizada
R113,Hospede 13,Q05,2026-02-05,2026-02-11,5,Cancelada
R114,Hospede 21,Q04,2026-06-21,2026-06-27,1,Cancelada
