id_venda,id_jogo,quantidade,avaliacao
V001,J08,7,5.7
V002,J02,8,7.8
V003,J06,3,6.4
V004,J03,6,6.9
V005,J05,6,5.0
V006,J07,3,8.4
V007,J05,4,8.6
V008,J05,7,5.5
V009,J07,5,5.6
V010,J07,5,6.1
V011,J07,8,4.9
V012,J07,5,7.7
V013,J03,8,7.6
V014,J02,8,6.0
V015,J05,2,6.3
V016,J08,2,6.6
V017,J04,7,9.8
V018,J05,7,5.1
V019,J01,2,7.3
V020,J05,7,5.9
V021,J06,6,8.2
V022,J08,2,6.2
V023,J08,3,4.6
V024,J01,4,7.5
V025,J03,5,7.7
V026,J05,3,8.4
V027,J04,5,8.5
V028,J02,5,5.4
V029,J08,6,9.5
V030,J04,1,6.2
V031,J06,2,7.3
V032,J08,7,5.6
V033,J07,2,7.6
V034,J04,1,7.4
V035,J01,8,7.2
V036,J04,5,6.0
V037,J01,6,4.9
V038,J05,7,5.5
V039,J04,6,8.1
V040,J07,5,5.9
V041,J05,5,6.8
V042,J02,8,8.0
V043,J01,1,8.2
V044,J02,3,6.5
V045,J01,7,4.9
V046,J04,2,7.8
V047,J02,4,8.2
V048,J06,2,8.7
V049,J01,7,9.4
V050,J08,6,5.8
V051,J06,1,4.7
V052,J07,6,9.9
V053,J02,3,9.2
V054,J01,8,9.6
V055,J08,1,9.9
V056,J02,6,8.2
V057,J01,5,8.9
V058,J01,6,6.1
V059,J01,7,8.5
V060,J05,5,4.2
V061,J07,6,9.4
V062,J01,2,7.5
V063,J05,3,7.3
V064,J04,5,7.8
V065,J02,8,4.2
V066,J01,5,7.2
V067,J02,1,8.3
V068,J02,7,6.3
V069,J07,1,9.9
V070,J06,6,7.8
V071,J01,2,4.3
V072,J05,1,6.6
V073,J06,7,4.3
V074,J05,6,8.4
V075,J05,3,9.9
V076,J05,8,8.3
V077,J03,4,6.4
V078,J04,4,8.6
V079,J08,4,9.9
V080,J02,4,6.3
V081,J04,1,9.6
V082,J06,2,6.7
V083,J06,6,9.4
V084,J02,4,4.3
V085,J04,7,4.1
V086,J06,1,8.1
V087,J01,5,6.4
V088,J04,2,9.1
V089,J07,1,9.3
V090,J02,2,6.5
V091,J01,4,6.1
V092,J02,6,6.1
V093,J01,1,9.9
V094,J01,2,8.3
V095,J04,6,5.3
V096,J08,8,8.4
V097,J06,4,9.2
V098,J05,6,7.8
V099,J06,2,4.7
V100,J01,5,5.8
V101,J06,4,5.9
V102,J02,5,8.4
V103,J01,6,5.7
V104,J06,1,5.2
V105,J04,3,4.9
V106,J02,8,6.5
V107,J08,7,4.6
V108,J08,8,6.8
V109,J02,1,7.6
V110,J02,5,4.9
V111,J02,8,5.3
V112,J07,4,8.2
V113,J03,2,7.3
V114,J03,6,10.0
V115,J07,6,5.7
V116,J02,6,9.2
V117,J06,1,7.2
V118,J05,3,8.3
V119,J05,7,4.5
V120,J06,6,9.9
V121,J06,8,9.8
V122,J07,7,7.2
V123,J01,7,7.0
V124,J05,3,6.4
V125,J05,6,5.6
V126,J02,1,9.0
V127,J03,1,8.5
V128,J02,1,4.0
V129,J07,4,5.1
V130,J08,7,5.5
V131,J04,1,6.4
V132,J04,4,8.0
V133,J04,5,9.1
V134,J06,6,8.9
V135,J05,1,6.1
V136,J06,5,4.6
V137,J02,6,7.6
V138,J05,1,8.0
V139,J04,6,6.5
V140,J02,2,6.5
V141,J03,3,8.3
V142,J02,2,9.0
V143,J04,1,4.9
V144,J07,7,4.3
V145,J01,6,5.6
V146,J08,8,7.7
V147,J07,3,9.1
V148,J05,5,6.8
V149,J03,4,5.9
V150,J01,4,5.2
V151,J02,6,8.9
V152,J01,4,4.5
V153,J08,2,5.1
V154,J08,4,6.1
V155,J07,3,5.6
V156,J01,6,8.1
V157,J07,7,4.7
V158,J06,8,7.4
V159,J02,3,7.9
V160,J05,4,4.2
V046,J04,2,7.8
V047,J02,4,8.2
V048,J06,2,8.7
V049,J01,7,9.4
V050,J08,6,5.8
