id_publicacao,usuario,hashtag,curtidas,comentarios
P001,Usuario 42,#esportes,143,86
P002,Usuario 39,#musica,313,98
P003,Usuario 26,#musica,388,24
P004,Usuario 27,#python,148,47
P005,Usuario 34,#musica,171,120
P006,Usuario 25,#python,104,90
P007,Usuario 20,#cinema,150,85
P008,Usuario 49,#tecnologia,93,79
P009,Usuario 12,#tecnologia,346,49
P010,Usuario 20,#python,460,20
P011,Usuario 44,#python,204,94
P012,Usuario 10,#games,319,61
P013,Usuario 03,#musica,162,3
P014,Usuario 48,#games,382,4
P015,Usuario 16,#estudos,458,10
P016,Usuario 01,#games,456,120
P017,Usuario 11,#tecnologia,12,101
P018,Usuario 25,#esportes,175,13
P019,Usuario 48,#viagem,212,90
P020,Usuario 04,#tecnologia,149,70
P021,Usuario 37,#musica,223,89
P022,Usuario 12,#tecnologia,305,13
P023,Usuario 04,#viagem,233,97
P024,Usuario 19,#tecnologia,344,94
P025,Usuario 44,#musica,104,96
P026,Usuario 30,#viagem,309,86
P027,Usuario 18,#python,239,31
P028,Usuario 20,#games,304,10
P029,Usuario 25,#esportes,305,111
P030,Usuario 06,#tecnologia,494,94
P031,Usuario 21,#esportes,486,96
P032,Usuario 36,#python,311,21
P033,Usuario 08,#musica,27,73
P034,Usuario 24,#cinema,200,42
P035,Usuario 34,#esportes,260,100
P036,Usuario 41,#tecnologia,478,86
P037,Usuario 31,#esportes,285,82
P038,Usuario 01,#tecnologia,264,23
P039,Usuario 27,#estudos,246,63
P040,Usuario 44,#esportes,177,4
P041,Usuario 17,#viagem,359,71
P042,Usuario 15,#cinema,40,91
P043,Usuario 39,#viagem,243,88
P044,Usuario 04,#esportes,258,47
P045,Usuario 13,#games,54,12
P046,Usuario 33,#python,27,103
P047,Usuario 09,#cinema,264,105
P048,Usuario 23,#esportes,414,76
P049,Usuario 22,#viagem,37,111
P050,Usuario 32,#viagem,50,104
P051,Usuario 47,#tecnologia,484,55
P052,Usuario 06,#estudos,325,101
P053,Usuario 35,#cinema,380,99
P054,Usuario 22,#estudos,302,2
P055,Usuario 32,#musica,295,35
P056,Usuario 28,#tecnologia,65,0
P057,Usuario 19,#estudos,72,80
P058,Usuario 10,#cinema,207,39
P059,Usuario 40,#cinema,453,81
P060,Usuario 36,#cinema,401,100
P061,Usuario 19,#tecnologia,490,14
P062,Usuario 05,#esportes,201,71
P063,Usuario 03,#python,81,60
P064,Usuario 47,#games,54,25
P065,Usuario 48,#games,486,70
P066,Usuario 47,#esportes,157,114
P067,Usuario 44,#cinema,399,80
P068,Usuario 02,#musica,189,28
