seguidor,seguido
Usuario 27,Usuario 19
Usuario 42,Usuario 17
Usuario 19,Usuario 43
Usuario 46,Usuario 47
Usuario 46,Usuario 25
Usuario 06,Usuario 50
Usuario 16,Usuario 45
Usuario 44,Usuario 29
Usuario 24,Usuario 04
Usuario 42,Usuario 38
Usuario 32,Usuario 21
Usuario 37,Usuario 14
Usuario 32,Usuario 22
Usuario 09,Usuario 30
Usuario 16,Usuario 30
Usuario 04,Usuario 07
Usuario 16,Usuario 43
Usuario 17,Usuario 13
Usuario 20,Usuario 29
Usuario 37,Usuario 39
Usuario 22,Usuario 06
Usuario 02,Usuario 04
Usuario 38,Usuario 32
Usuario 07,Usuario 49
Usuario 24,Usuario 05
Usuario 21,Usuario 31
Usuario 39,Usuario 24
Usuario 17,Usuario 35
Usuario 50,Usuario 37
Usuario 26,Usuario 32
Usuario 25,Usuario 35
Usuario 37,Usuario 38
Usuario 40,Usuario 39
Usuario 05,Usuario 35
Usuario 22,Usuario 11
Usuario 13,Usuario 09
Usuario 12,Usuario 32
Usuario 04,Usuario 47
Usuario 11,Usuario 14
Usuario 26,Usuario 39
Usuario 07,Usuario 27
Usuario 29,Usuario 49
Usuario 01,Usuario 32
Usuario 21,Usuario 29
Usuario 35,Usuario 03
Usuario 06,Usuario 21
Usuario 45,Usuario 31
Usuario 22,Usuario 42
Usuario 07,Usuario 33
Usuario 40,Usuario 50
Usuario 41,Usuario 37
Usuario 39,Usuario 26
Usuario 23,Usuario 03
Usuario 20,Usuario 05
Usuario 38,Usuario 12
Usuario 48,Usuario 11
Usuario 19,Usuario 29
Usuario 40,Usuario 27
Usuario 48,Usuario 41
Usuario 05,Usuario 30
Usuario 18,Usuario 35
Usuario 33,Usuario 41
Usuario 11,Usuario 28
Usuario 19,Usuario 25
Usuario 22,Usuario 02
Usuario 26,Usuario 09
Usuario 17,Usuario 28
Usuario 37,Usuario 10
Usuario 07,Usuario 25
Usuario 35,Usuario 33
Usuario 17,Usuario 24
Usuario 42,Usuario 05
Usuario 19,Usuario 04
Usuario 49,Usuario 28
Usuario 37,Usuario 20
Usuario 04,Usuario 31
Usuario 10,Usuario 45
Usuario 50,Usuario 36
Usuario 19,Usuario 22
Usuario 26,Usuario 50
Usuario 06,Usuario 41
Usuario 12,Usuario 39
Usuario 25,Usuario 40
Usuario 30,Usuario 36
Usuario 10,Usuario 48
Usuario 40,Usuario 28
Usuario 36,Usuario 16
Usuario 02,Usuario 24
Usuario 42,Usuario 27
Usuario 06,Usuario 14
Usuario 31,Usuario 04
Usuario 19,Usuario 06
Usuario 26,Usuario 18
Usuario 36,Usuario 29
Usuario 24,Usuario 32
Usuario 33,Usuario 14
Usuario 07,Usuario 47
Usuario 20,Usuario 19
Usuario 44,Usuario 42
Usuario 12,Usuario 43
Usuario 21,Usuario 28
Usuario 12,Usuario 50
Usuario 02,Usuario 28
Usuario 02,Usuario 06
Usuario 17,Usuario 42
Usuario 49,Usuario 22
Usuario 43,Usuario 16
Usuario 25,Usuario 18
Usuario 50,Usuario 44
Usuario 34,Usuario 46
Usuario 39,Usuario 32
Usuario 46,Usuario 38
Usuario 20,Usuario 06
Usuario 18,Usuario 16
Usuario 16,Usuario 15
Usuario 36,Usuario 07
Usuario 30,Usuario 12
Usuario 43,Usuario 13
Usuario 03,Usuario 50
Usuario 37,Usuario 35
