id_inscricao,candidato,id_vaga,etapa
I001,Candidato 53,V04,Reprovado
I002,Candidato 30,V04,Triagem
I003,Candidato 53,V05,Aprovado
I004,Candidato 40,V01,Inscrito
I005,Candidato 25,V04,Aprovado
I006,Candidato 14,V02,Aprovado
I007,Candidato 22,V03,Reprovado
I008,Candidato 40,V02,Inscrito
I009,Candidato 05,V01,Triagem
I010,Candidato 38,V02,Entrevista
I011,Candidato 60,V03,Triagem
I012,Candidato 03,V01,Triagem
I013,Candidato 08,V02,Entrevista
I014,Candidato 17,V01,Triagem
I015,Candidato 11,V05,Entrevista
I016,Candidato 38,V02,Triagem
I017,Candidato 23,V03,Triagem
I018,Candidato 38,V04,Entrevista
I019,Candidato 40,V05,Entrevista
I020,Candidato 07,V04,Entrevista
I021,Candidato 41,V03,Aprovado
I022,Candidato 04,V03,Reprovado
I023,Candidato 36,V02,Reprovado
I024,Candidato 25,V05,Reprovado
I025,Candidato 36,V04,Reprovado
I026,Candidato 55,V01,Inscrito
I027,Candidato 47,V04,Reprovado
I028,Candidato 34,V05,Reprovado
I029,Candidato 43,V05,Reprovado
I030,Candidato 18,V03,Aprovado
I031,Candidato 19,V04,Reprovado
I032,Candidato 28,V02,Aprovado
I033,Candidato 08,V05,Entrevista
I034,Candidato 23,V05,Triagem
I035,Candidato 44,V04,Aprovado
I036,Candidato 19,V02,Inscrito
I037,Candidato 11,V05,Reprovado
I038,Candidato 26,V05,Entrevista
I039,Candidato 39,V05,Aprovado
I040,Candidato 19,V01,Reprovado
I041,Candidato 08,V02,Inscrito
I042,Candidato 14,V02,Reprovado
I043,Candidato 31,V04,Inscrito
I044,Candidato 38,V05,Triagem
I045,Candidato 04,V03,Entrevista
I046,Candidato 08,V01,Aprovado
I047,Candidato 29,V04,Aprovado
I048,Candidato 10,V01,Entrevista
I049,Candidato 60,V01,Aprovado
I050,Candidato 60,V01,Inscrito
I051,Candidato 01,V03,Aprovado
I052,Candidato 38,V04,Inscrito
I053,Candidato 49,V02,Aprovado
I054,Candidato 50,V04,Inscrito
I055,Candidato 30,V01,Entrevista
I056,Candidato 19,V01,Triagem
I057,Candidato 35,V01,Triagem
I058,Candidato 50,V02,Aprovado
I059,Candidato 49,V02,Entrevista
I060,Candidato 05,V02,Aprovado
I061,Candidato 55,V02,Aprovado
I062,Candidato 40,V02,Triagem
I063,Candidato 27,V03,Reprovado
I064,Candidato 10,V05,Triagem
I065,Candidato 32,V05,Inscrito
I066,Candidato 57,V01,Aprovado
I067,Candidato 24,V03,Aprovado
I068,Candidato 42,V04,Inscrito
I069,Candidato 49,V05,Inscrito
I070,Candidato 24,V02,Triagem
I071,Candidato 23,V03,Triagem
I072,Candidato 47,V02,Aprovado
I073,Candidato 49,V05,Aprovado
I074,Candidato 28,V01,Reprovado
I075,Candidato 10,V02,Inscrito
I076,Candidato 49,V05,Entrevista
I077,Candidato 26,V04,Inscrito
I078,Candidato 39,V02,Inscrito
I079,Candidato 14,V01,Entrevista
I080,Candidato 45,V02,Entrevista
I081,Candidato 51,V03,Inscrito
I082,Candidato 13,V04,Triagem
I083,Candidato 12,V02,Triagem
I084,Candidato 43,V01,Reprovado
I085,Candidato 12,V03,Aprovado
I086,Candidato 30,V04,Triagem
I087,Candidato 22,V05,Aprovado
I088,Candidato 02,V04,Entrevista
I089,Candidato 38,V02,Entrevista
I090,Candidato 12,V05,Inscrito
I091,Candidato 02,V02,Reprovado
I092,Candidato 15,V05,Reprovado
I093,Candidato 57,V02,Reprovado
I094,Candidato 47,V02,Entrevista
I095,Candidato 26,V03,Inscrito
I096,Candidato 02,V05,Triagem
I097,Candidato 50,V02,Triagem
I098,Candidato 05,V02,Aprovado
I099,Candidato 36,V03,Entrevista
I100,Candidato 42,V05,Reprovado
I101,Candidato 42,V01,Aprovado
I102,Candidato 01,V05,Reprovado
I103,Candidato 17,V04,Aprovado
I104,Candidato 60,V02,Inscrito
I105,Candidato 05,V01,Triagem
I106,Candidato 16,V05,Triagem
I107,Candidato 39,V01,Inscrito
I108,Candidato 24,V01,Inscrito
I109,Candidato 28,V02,Inscrito
I110,Candidato 59,V03,Inscrito
I111,Candidato 04,V04,Aprovado
I112,Candidato 29,V03,Aprovado
I113,Candidato 53,V05,Aprovado
I114,Candidato 01,V04,Reprovado
I115,Candidato 37,V02,Entrevista
I116,Candidato 38,V04,Entrevista
I117,Candidato 32,V05,Reprovado
I118,Candidato 01,V04,Entrevista
I119,Candidato 01,V03,Triagem
I120,Candidato 05,V03,Reprovado
I121,Candidato 58,V01,Aprovado
I122,Candidato 57,V02,Inscrito
I123,Candidato 18,V01,Entrevista
I124,Candidato 42,V05,Entrevista
I125,Candidato 53,V04,Inscrito
I126,Candidato 35,V04,Reprovado
I127,Candidato 31,V01,Entrevista
I128,Candidato 11,V02,Entrevista
I129,Candidato 51,V01,Aprovado
I130,Candidato 22,V05,Aprovado
I131,Candidato 48,V02,Entrevista
I132,Candidato 26,V04,Reprovado
I133,Candidato 40,V03,Reprovado
I134,Candidato 19,V01,Inscrito
I135,Candidato 34,V03,Entrevista
I136,Candidato 08,V01,Aprovado
I137,Candidato 32,V03,Aprovado
I138,Candidato 29,V05,Aprovado
I139,Candidato 20,V04,Entrevista
I140,Candidato 20,V03,Aprovado
I141,Candidato 18,V04,Aprovado
I142,Candidato 56,V01,Aprovado
I143,Candidato 48,V02,Triagem
I144,Candidato 24,V05,Entrevista
I145,Candidato 42,V05,Inscrito
I146,Candidato 11,V03,Aprovado
I147,Candidato 14,V03,Triagem
I148,Candidato 43,V03,Triagem
I149,Candidato 26,V01,Triagem
I150,Candidato 04,V04,Reprovado
I151,Candidato 36,V05,Reprovado
I152,Candidato 15,V01,Aprovado
I153,Candidato 23,V03,Reprovado
I154,Candidato 26,V03,Entrevista
I155,Candidato 13,V02,Triagem
I156,Candidato 35,V01,Aprovado
I157,Candidato 01,V05,Reprovado
I158,Candidato 53,V04,Entrevista
I159,Candidato 59,V02,Reprovado
I160,Candidato 54,V03,Aprovado
I161,Candidato 57,V05,Triagem
I162,Candidato 45,V01,Reprovado
I163,Candidato 30,V02,Reprovado
I164,Candidato 12,V01,Reprovado
I165,Candidato 47,V05,Entrevista
I166,Candidato 28,V03,Aprovado
I167,Candidato 11,V01,Reprovado
I168,Candidato 41,V01,Aprovado
I169,Candidato 10,V05,Entrevista
I170,Candidato 59,V03,Reprovado
I171,Candidato 49,V01,Aprovado
I172,Candidato 47,V05,Triagem
I173,Candidato 60,V05,Entrevista
I174,Candidato 18,V03,Inscrito
I175,Candidato 38,V03,Inscrito
I176,Candidato 06,V04,Inscrito
I177,Candidato 55,V02,Triagem
I178,Candidato 45,V05,Entrevista
I179,Candidato 10,V03,Aprovado
I180,Candidato 28,V02,Reprovado
I021,Candidato 41,V03,Aprovado
I022,Candidato 04,V03,Reprovado
I023,Candidato 36,V02,Reprovado
I024,Candidato 25,V05,Reprovado
I025,Candidato 36,V04,Reprovado
