venda_id,cliente_id,produto_id,quantidade,valor_total,canal
V0001,12,P002,2,45.0,Balcão
V0002,6,P005,5,149.5,Balcão
V0003,9,P012,3,29.7,Delivery
V0004,7,P006,5,62.5,Balcão
V0005,8,P005,4,119.6,Delivery
V0006,4,P006,2,25.0,Delivery
V0007,5,P001,4,75.6,Balcão
V0008,3,P004,4,199.6,Balcão
V0009,10,P002,1,22.5,Delivery
V0010,9,P007,4,99.6,Delivery
V0011,6,P009,4,219.6,Balcão
V0012,10,P006,3,37.5,Delivery
V0013,7,P012,5,49.5,Balcão
V0014,12,P011,4,67.6,Balcão
V0015,12,P003,3,23.7,Delivery
V0016,10,P008,4,159.6,Balcão
V0017,3,P005,4,119.6,Delivery
V0018,8,P009,5,274.5,Delivery
V0019,8,P002,3,67.5,Balcão
V0020,1,P009,3,164.7,Balcão
V0021,2,P008,4,159.6,Delivery
V0022,2,P004,1,49.9,Delivery
V0023,4,P002,4,90.0,Balcão
V0024,10,P002,1,22.5,Delivery
V0025,4,P007,5,124.5,Delivery
V0026,4,P003,1,7.9,Delivery
V0027,9,P005,1,29.9,Balcão
V0028,9,P005,2,59.8,Delivery
V0029,4,P007,2,49.8,Delivery
V0030,12,P004,1,49.9,Balcão
V0031,2,P001,2,37.8,Delivery
V0032,3,P002,5,112.5,Delivery
V0033,9,P002,3,67.5,Balcão
V0034,4,P011,2,33.8,Balcão
V0035,1,P004,2,99.8,Balcão
V0036,1,P008,4,159.6,Delivery
V0037,8,P001,1,18.9,Balcão
V0038,9,P005,4,119.6,Balcão
V0039,8,P001,1,18.9,Delivery
V0040,11,P010,2,63.8,Balcão
V0041,9,P011,1,16.9,Balcão
V0042,9,P004,3,149.7,Balcão
V0043,5,P010,3,95.7,Delivery
V0044,7,P006,5,62.5,Delivery
V0045,9,P003,2,15.8,Balcão
V0046,8,P007,5,124.5,Delivery
V0047,11,P009,4,219.6,Delivery
V0048,3,P006,1,12.5,Balcão
V0049,12,P006,4,50.0,Balcão
V0050,12,P008,1,39.9,Delivery
V0051,8,P011,3,50.7,Balcão
V0052,7,P005,1,29.9,Delivery
V0053,5,P002,4,90.0,Balcão
V0054,7,P008,3,119.7,Delivery
V0055,10,P011,5,84.5,Delivery
V0056,4,P002,3,67.5,Delivery
V0057,4,P010,5,159.5,Balcão
V0058,2,P001,5,94.5,Delivery
V0059,3,P012,2,19.8,Balcão
V0060,7,P012,1,9.9,Balcão
V0061,11,P010,5,159.5,Balcão
V0062,11,P006,5,62.5,Balcão
V0063,10,P004,5,249.5,Balcão
V0064,5,P005,3,89.7,Balcão
V0065,5,P010,4,127.6,Delivery
V0066,8,P007,2,49.8,Balcão
V0067,1,P010,2,63.8,Balcão
V0068,3,P001,2,37.8,Balcão
V0069,1,P007,1,24.9,Delivery
V0070,4,P011,1,16.9,Delivery
V0071,5,P010,3,95.7,Delivery
V0072,12,P010,3,95.7,Delivery
V0073,8,P007,2,49.8,Balcão
V0074,5,P012,2,19.8,Balcão
V0075,5,P006,5,62.5,Balcão
V0076,9,P004,4,199.6,Delivery
V0077,3,P009,1,54.9,Balcão
V0078,5,P001,1,18.9,Delivery
V0079,11,P007,3,74.7,Delivery
V0080,11,P011,3,50.7,Balcão
V0081,9,P007,1,24.9,Delivery
V0082,12,P001,4,75.6,Delivery
V0083,7,P006,3,37.5,Delivery
V0084,7,P003,5,39.5,Balcão
V0085,1,P003,2,15.8,Balcão
V0086,4,P007,3,74.7,Balcão
V0087,1,P004,3,149.7,Balcão
V0088,8,P002,5,112.5,Delivery
V0089,4,P010,4,127.6,Delivery
V0090,6,P001,2,37.8,Delivery
V0091,8,P006,1,12.5,Balcão
V0092,10,P003,4,31.6,Balcão
V0093,5,P009,3,164.7,Balcão
V0094,7,P003,2,15.8,Balcão
V0095,5,P010,2,63.8,Balcão
V0096,10,P008,4,159.6,Delivery
V0097,12,P003,4,31.6,Delivery
V0098,8,P001,4,75.6,Delivery
V0099,6,P012,3,29.7,Balcão
V0100,12,P012,2,19.8,Balcão
V0101,9,P006,1,12.5,Delivery
V0102,12,P009,5,274.5,Balcão
V0103,11,P004,4,199.6,Balcão
V0104,12,P003,5,39.5,Balcão
V0105,6,P010,4,127.6,Delivery
V0106,4,P002,4,90.0,Balcão
V0107,7,P012,5,49.5,Balcão
V0108,7,P011,4,67.6,Delivery
V0109,12,P004,2,99.8,Balcão
V0110,4,P009,4,219.6,Delivery
V0111,3,P005,5,149.5,Delivery
V0112,1,P004,2,99.8,Balcão
V0113,9,P010,4,127.6,Delivery
V0114,11,P010,4,127.6,Balcão
V0115,4,P011,2,33.8,Balcão
V0116,4,P008,3,119.7,Balcão
V0117,5,P008,1,39.9,Delivery
V0118,3,P011,4,67.6,Delivery
V0119,8,P009,3,164.7,Balcão
V0120,5,P007,5,124.5,Balcão
V0121,12,P002,5,112.5,Delivery
V0122,6,P002,4,90.0,Balcão
V0123,2,P010,2,63.8,Balcão
V0124,2,P001,3,56.7,Balcão
V0125,5,P007,4,99.6,Delivery
V0126,7,P010,3,95.7,Delivery
V0127,10,P010,3,95.7,Delivery
V0128,8,P001,1,18.9,Delivery
V0129,9,P010,1,31.9,Balcão
V0130,5,P001,1,18.9,Delivery
V0131,2,P009,2,109.8,Balcão
V0132,10,P009,1,54.9,Delivery
V0133,8,P007,3,74.7,Delivery
V0134,1,P006,4,50.0,Balcão
V0135,11,P007,4,99.6,Balcão
V0136,12,P011,4,67.6,Delivery
V0137,1,P008,5,199.5,Balcão
V0138,12,P001,4,75.6,Balcão
V0139,8,P011,5,84.5,Delivery
V0140,10,P002,3,67.5,Balcão
V0141,4,P001,2,37.8,Balcão
V0142,8,P008,5,199.5,Delivery
V0143,11,P004,2,99.8,Balcão
V0144,5,P012,5,49.5,Balcão
V0145,4,P005,4,119.6,Delivery
V0146,11,P010,4,127.6,Balcão
V0147,7,P001,1,18.9,Delivery
V0148,2,P006,2,25.0,Delivery
V0149,6,P002,4,90.0,Balcão
V0150,2,P010,2,63.8,Delivery
V0151,10,P004,5,249.5,Delivery
V0152,7,P001,4,75.6,Balcão
V0153,10,P011,4,67.6,Balcão
V0154,11,P003,5,39.5,Delivery
V0155,9,P010,5,159.5,Delivery
V0156,8,P003,2,15.8,Balcão
V0157,10,P007,3,74.7,Balcão
V0158,5,P007,1,24.9,Delivery
V0159,8,P003,1,7.9,Delivery
V0160,3,P001,2,37.8,Delivery
V0161,6,P006,5,62.5,Delivery
V0162,9,P004,1,49.9,Balcão
V0163,1,P012,1,9.9,Delivery
V0164,11,P008,1,39.9,Balcão
V0165,6,P011,3,50.7,Balcão
V0166,8,P012,1,9.9,Delivery
V0167,7,P008,2,79.8,Delivery
V0168,2,P008,2,79.8,Balcão
V0169,3,P001,5,94.5,Delivery
V0170,4,P009,5,274.5,Delivery
V0171,1,P011,5,84.5,Balcão
V0172,3,P003,5,39.5,Balcão
V0173,1,P008,4,159.6,Delivery
V0174,11,P004,5,249.5,Delivery
V0175,12,P011,3,50.7,Delivery
V0176,11,P003,5,39.5,Delivery
V0177,11,P009,3,164.7,Delivery
V0178,4,P007,3,74.7,Delivery
V0179,7,P008,2,79.8,Delivery
V0180,3,P011,2,33.8,Delivery
V0021,2,P008,4,159.6,Delivery
V0022,2,P004,1,49.9,Delivery
V0023,4,P002,4,90.0,Balcão
V0024,10,P002,1,22.5,Delivery
V0025,4,P007,5,124.5,Delivery
