ordem_id,veiculo_id,servico_id,data,status,valor
O0001,V009,S05,2026-04-13,Em andamento,357.66
O0002,V037,S05,2026-08-01,Concluída,446.01
O0003,V015,S02,2026-08-17,Em andamento,132.69
O0004,V040,S02,2026-03-18,Cancelada,92.13
O0005,V018,S08,2026-07-21,Concluída,187.57
O0006,V017,S08,2026-01-20,Concluída,211.82
O0007,V033,S07,2026-08-23,Cancelada,97.5
O0008,V001,S02,2026-04-08,Em andamento,117.88
O0009,V034,S04,2026-07-05,Concluída,371.02
O0010,V017,S02,2026-03-24,Cancelada,85.75
O0011,V008,S02,2026-08-16,Concluída,88.59
O0012,V002,S06,2026-02-11,Em andamento,504.22
O0013,V013,S03,2026-05-10,Em andamento,268.07
O0014,V045,S03,2026-07-23,Concluída,271.22
O0015,V003,S04,2026-01-21,Em andamento,385.03
O0016,V046,S08,2026-07-13,Concluída,235.06
O0017,V040,S07,2026-02-26,Cancelada,94.67
O0018,V002,S07,2026-01-24,Cancelada,113.85
O0019,V010,S04,2026-01-21,Concluída,326.75
O0020,V015,S08,2026-07-01,Em andamento,189.56
O0021,V043,S05,2026-03-05,Cancelada,341.85
O0022,V004,S01,2026-03-25,Concluída,146.28
O0023,V023,S03,2026-05-02,Concluída,330.6
O0024,V036,S04,2026-03-23,Concluída,438.78
O0025,V044,S07,2026-07-08,Concluída,73.18
O0026,V022,S02,2026-03-02,Em andamento,113.93
O0027,V016,S06,2026-06-11,Cancelada,542.78
O0028,V021,S03,2026-04-14,Cancelada,226.57
O0029,V007,S07,2026-03-11,Em andamento,110.59
O0030,V033,S07,2026-06-25,Concluída,80.57
O0031,V019,S06,2026-05-27,Concluída,876.41
O0032,V007,S04,2026-05-24,Em andamento,487.54
O0033,V008,S01,2026-03-18,Em andamento,146.61
O0034,V015,S01,2026-03-04,Cancelada,112.91
O0035,V026,S06,2026-06-15,Em andamento,749.5
O0036,V009,S02,2026-06-14,Cancelada,79.86
O0037,V003,S06,2026-05-16,Cancelada,481.74
O0038,V035,S01,2026-04-13,Em andamento,98.15
O0039,V021,S07,2026-04-28,Concluída,65.77
O0040,V040,S03,2026-08-21,Em andamento,370.52
O0041,V019,S06,2026-08-03,Em andamento,499.88
O0042,V036,S07,2026-07-04,Em andamento,99.15
O0043,V029,S08,2026-04-13,Cancelada,207.6
O0044,V049,S07,2026-01-20,Cancelada,78.75
O0045,V027,S02,2026-06-11,Concluída,92.19
O0046,V009,S05,2026-07-24,Cancelada,348.29
O0047,V005,S01,2026-03-17,Concluída,164.08
O0048,V050,S02,2026-04-08,Concluída,127.78
O0049,V032,S05,2026-01-11,Cancelada,489.93
O0050,V039,S04,2026-07-07,Cancelada,467.32
O0051,V024,S01,2026-03-06,Concluída,113.99
O0052,V040,S02,2026-08-17,Em andamento,129.11
O0053,V011,S03,2026-08-22,Cancelada,205.94
O0054,V049,S06,2026-07-03,Cancelada,602.77
O0055,V001,S05,2026-02-16,Cancelada,597.68
O0056,V037,S05,2026-06-01,Concluída,527.72
O0057,V015,S02,2026-02-04,Em andamento,95.33
O0058,V007,S06,2026-06-14,Concluída,552.15
O0059,V003,S02,2026-07-18,Cancelada,116.98
O0060,V025,S02,2026-03-23,Cancelada,87.13
O0061,V026,S02,2026-04-26,Concluída,98.66
O0062,V049,S01,2026-04-24,Em andamento,118.56
O0063,V029,S01,2026-06-27,Concluída,106.28
O0064,V042,S03,2026-06-05,Em andamento,330.67
O0065,V040,S07,2026-02-13,Cancelada,95.25
O0066,V042,S05,2026-03-02,Em andamento,462.38
O0067,V043,S08,2026-03-03,Concluída,218.55
O0068,V028,S01,2026-04-27,Cancelada,116.48
O0069,V028,S02,2026-02-11,Em andamento,104.53
O0070,V029,S08,2026-04-15,Cancelada,263.66
O0071,V013,S04,2026-08-07,Em andamento,355.37
O0072,V046,S05,2026-07-20,Em andamento,609.22
O0073,V043,S01,2026-07-17,Concluída,127.88
O0074,V039,S01,2026-03-08,Concluída,143.5
O0075,V013,S05,2026-08-27,Em andamento,434.72
O0076,V050,S05,2026-07-26,Cancelada,347.03
O0077,V022,S06,2026-03-28,Em andamento,821.76
O0078,V012,S07,2026-08-24,Concluída,67.6
O0079,V023,S08,2026-06-08,Em andamento,157.19
O0080,V041,S01,2026-07-27,Em andamento,98.99
O0081,V009,S08,2026-04-06,Cancelada,239.39
O0082,V048,S05,2026-08-22,Concluída,425.22
O0083,V008,S04,2026-06-16,Em andamento,384.59
O0084,V036,S03,2026-03-28,Concluída,303.55
O0085,V041,S08,2026-01-18,Cancelada,211.32
O0086,V035,S05,2026-03-16,Cancelada,605.04
O0087,V007,S07,2026-08-22,Concluída,81.46
O0088,V018,S05,2026-01-14,Em andamento,346.15
O0089,V037,S05,2026-01-11,Cancelada,454.24
O0090,V014,S06,2026-08-02,Cancelada,608.09
O0091,V047,S07,2026-02-03,Concluída,94.01
O0092,V007,S02,2026-07-22,Em andamento,119.01
O0093,V014,S04,2026-08-03,Cancelada,453.21
O0094,V037,S08,2026-02-14,Em andamento,243.66
O0095,V019,S01,2026-07-10,Em andamento,166.69
O0096,V017,S01,2026-07-22,Em andamento,133.12
O0097,V006,S03,2026-07-24,Cancelada,213.32
O0098,V002,S07,2026-03-22,Em andamento,65.82
O0099,V031,S03,2026-07-06,Cancelada,307.76
O0100,V031,S04,2026-02-16,Em andamento,454.08
O0101,V038,S06,2026-07-20,Concluída,729.58
O0102,V033,S03,2026-03-18,Concluída,227.6
O0103,V004,S07,2026-04-25,Em andamento,91.87
O0104,V010,S02,2026-02-03,Em andamento,105.4
O0105,V036,S04,2026-01-25,Concluída,319.93
O0106,V021,S02,2026-03-13,Concluída,74.94
O0107,V021,S06,2026-07-17,Concluída,697.8
O0108,V011,S03,2026-08-05,Concluída,316.67
O0109,V027,S06,2026-04-18,Cancelada,835.8
O0110,V036,S01,2026-04-03,Em andamento,139.88
O0111,V015,S03,2026-03-12,Cancelada,231.44
O0112,V014,S07,2026-07-21,Concluída,102.45
O0113,V045,S06,2026-08-22,Cancelada,837.89
O0114,V041,S01,2026-06-19,Cancelada,140.94
O0115,V034,S03,2026-03-18,Cancelada,204.68
O0116,V017,S05,2026-03-04,Em andamento,601.86
O0117,V018,S04,2026-05-02,Em andamento,374.18
O0118,V040,S01,2026-02-03,Concluída,130.67
O0119,V022,S04,2026-06-17,Concluída,288.65
O0120,V046,S01,2026-01-09,Em andamento,164.66
O0121,V035,S01,2026-02-05,Em andamento,155.81
O0122,V021,S06,2026-02-27,Cancelada,883.0
O0123,V050,S03,2026-06-27,Em andamento,292.96
O0124,V028,S01,2026-01-08,Em andamento,170.08
O0125,V026,S06,2026-08-21,Em andamento,729.62
O0126,V031,S08,2026-02-03,Em andamento,189.9
O0127,V040,S05,2026-01-02,Concluída,551.03
O0128,V001,S02,2026-06-19,Em andamento,90.49
O0129,V044,S06,2026-08-02,Em andamento,817.11
O0130,V050,S08,2026-04-12,Concluída,144.35
O0131,V046,S02,2026-01-11,Em andamento,121.99
O0132,V048,S05,2026-02-15,Cancelada,376.62
O0133,V010,S02,2026-06-14,Cancelada,93.1
O0134,V007,S08,2026-04-16,Em andamento,234.12
O0135,V015,S06,2026-04-28,Em andamento,713.85
O0136,V035,S01,2026-03-14,Cancelada,106.34
O0137,V023,S03,2026-01-12,Concluída,217.56
O0138,V023,S03,2026-01-01,Concluída,336.52
O0139,V024,S05,2026-06-26,Cancelada,466.25
O0140,V044,S07,2026-07-27,Concluída,88.73
O0141,V010,S07,2026-04-21,Cancelada,110.26
O0142,V010,S02,2026-08-22,Em andamento,114.09
O0143,V007,S08,2026-08-12,Concluída,260.68
O0144,V013,S05,2026-06-18,Concluída,558.27
O0145,V028,S05,2026-03-12,Em andamento,560.89
O0146,V020,S02,2026-07-28,Concluída,132.43
O0147,V002,S08,2026-06-14,Concluída,155.41
O0148,V040,S05,2026-02-18,Em andamento,616.62
O0149,V038,S02,2026-02-11,Cancelada,79.22
O0150,V050,S07,2026-06-27,Cancelada,70.06
O0151,V013,S02,2026-06-01,Cancelada,110.52
O0152,V012,S05,2026-03-04,Em andamento,587.79
O0153,V046,S06,2026-03-03,Cancelada,832.23
O0154,V022,S02,2026-05-12,Cancelada,92.05
O0155,V022,S04,2026-03-10,Concluída,349.93
O0156,V047,S04,2026-02-27,Cancelada,379.21
O0157,V029,S03,2026-03-05,Em andamento,371.84
O0158,V004,S08,2026-02-05,Em andamento,219.92
O0159,V032,S05,2026-06-25,Cancelada,566.6
O0160,V026,S06,2026-07-07,Concluída,752.63
O0031,V019,S06,2026-05-27,Concluída,876.41
O0032,V007,S04,2026-05-24,Em andamento,487.54
O0033,V008,S01,2026-03-18,Em andamento,146.61
O0034,V015,S01,2026-03-04,Cancelada,112.91
O0035,V026,S06,2026-06-15,Em andamento,749.5
