veiculo_id,cliente_id,marca,tipo,ano
V001,C018,Honda,Pickup,2018
V002,C032,Hyundai,Sedan,2016
V003,C023,Hyundai,Hatch,2022
V004,C035,Hyundai,Pickup,2020
V005,C031,Toyota,Hatch,2025
V006,C011,Volkswagen,Hatch,2020
V007,C034,Fiat,Pickup,2017
V008,C006,Volkswagen,SUV,2023
V009,C014,Toyota,SUV,2021
V010,C012,Hyundai,SUV,2018
V011,C032,Toyota,Sedan,2022
V012,C017,Volkswagen,SUV,2021
V013,C031,Chevrolet,SUV,2019
V014,C014,Honda,SUV,2016
V015,C032,Toyota,Hatch,2021
V016,C001,Toyota,Pickup,2016
V017,C005,Fiat,SUV,2021
V018,C028,Honda,Pickup,2017
V019,C001,Honda,Sedan,2020
V020,C027,Volkswagen,SUV,2022
V021,C008,Fiat,Hatch,2017
V022,C007,Volkswagen,SUV,2018
V023,C024,Honda,Sedan,2017
V024,C032,Fiat,Sedan,2020
V025,C018,Honda,Pickup,2015
V026,C006,Hyundai,Hatch,2022
V027,C026,Toyota,Pickup,2015
V028,C020,Toyota,SUV,2021
V029,C020,Volkswagen,Pickup,2022
V030,C010,Fiat,Sedan,2024
V031,C028,Toyota,SUV,2022
V032,C008,Fiat,SUV,2020
V033,C014,Chevrolet,Pickup,2019
V034,C035,Hyundai,Hatch,2023
V035,C020,Fiat,SUV,2024
V036,C029,Fiat,Hatch,2019
V037,C017,Chevrolet,SUV,2021
V038,C034,Toyota,Pickup,2023
V039,C018,Honda,Sedan,2025
V040,C024,Fiat,Pickup,2020
V041,C021,Toyota,Hatch,2017
V042,C035,Hyundai,Hatch,2024
V043,C030,Volkswagen,SUV,2017
V044,C002,Hyundai,SUV,2017
V045,C011,Honda,Pickup,2018
V046,C029,Fiat,Sedan,2022
V047,C027,Fiat,Sedan,2020
V048,C012,Honda,Sedan,2016
V049,C028,Chevrolet,Pickup,2023
V050,C032,Fiat,Pickup,2022
