ingresso_id,sessao_id,quantidade,tipo,valor
I0001,S046,7,Inteira,12
I0002,S013,1,Inteira,12
I0003,S070,2,Inteira,24
I0004,S073,3,Inteira,12
I0005,S076,4,Promoção,24
I0006,S018,5,Promoção,18
I0007,S044,5,Promoção,18
I0008,S054,2,Inteira,18
I0009,S017,8,Meia,12
I0010,S077,1,Promoção,18
I0011,S040,5,Inteira,24
I0012,S029,1,Inteira,12
I0013,S071,4,Promoção,12
I0014,S038,5,Meia,24
I0015,S012,5,Meia,18
I0016,S032,5,Promoção,24
I0017,S040,5,Inteira,18
I0018,S010,4,Promoção,12
I0019,S026,6,Inteira,12
I0020,S027,2,Inteira,18
I0021,S050,3,Inteira,18
I0022,S079,3,Meia,18
I0023,S020,7,Inteira,12
I0024,S037,4,Meia,12
I0025,S040,1,Meia,24
I0026,S020,2,Promoção,18
I0027,S046,4,Meia,18
I0028,S004,4,Inteira,18
I0029,S026,1,Meia,18
I0030,S075,8,Inteira,18
I0031,S041,1,Meia,24
I0032,S041,4,Promoção,18
I0033,S051,4,Inteira,24
I0034,S075,6,Promoção,18
I0035,S027,2,Meia,18
I0036,S006,6,Inteira,18
I0037,S033,7,Promoção,18
I0038,S061,3,Promoção,12
I0039,S042,2,Meia,24
I0040,S064,8,Promoção,12
I0041,S068,4,Promoção,24
I0042,S037,4,Meia,24
I0043,S025,8,Inteira,18
I0044,S035,6,Inteira,18
I0045,S060,4,Meia,12
I0046,S018,3,Inteira,12
I0047,S074,3,Promoção,24
I0048,S032,3,Inteira,18
I0049,S002,6,Promoção,12
I0050,S012,4,Inteira,24
I0051,S044,8,Meia,18
I0052,S072,3,Inteira,24
I0053,S030,2,Inteira,12
I0054,S047,3,Promoção,12
I0055,S048,8,Inteira,18
I0056,S025,6,Promoção,18
I0057,S035,7,Inteira,12
I0058,S063,1,Meia,12
I0059,S066,5,Inteira,12
I0060,S011,1,Inteira,24
I0061,S030,6,Inteira,12
I0062,S062,2,Inteira,24
I0063,S022,6,Inteira,12
I0064,S017,2,Meia,12
I0065,S003,8,Promoção,12
I0066,S066,5,Meia,12
I0067,S070,7,Inteira,24
I0068,S031,3,Promoção,12
I0069,S007,7,Inteira,18
I0070,S017,8,Meia,18
I0071,S059,6,Promoção,12
I0072,S060,1,Meia,12
I0073,S052,5,Promoção,12
I0074,S014,4,Meia,12
I0075,S036,1,Promoção,18
I0076,S061,3,Promoção,24
I0077,S061,2,Meia,24
I0078,S080,4,Promoção,18
I0079,S042,3,Meia,18
I0080,S015,6,Meia,18
I0081,S067,7,Meia,24
I0082,S058,7,Inteira,24
I0083,S019,8,Meia,24
I0084,S004,6,Meia,18
I0085,S070,4,Inteira,24
I0086,S012,1,Inteira,24
I0087,S055,5,Promoção,24
I0088,S074,2,Meia,18
I0089,S037,2,Inteira,18
I0090,S047,8,Promoção,12
I0091,S059,5,Promoção,18
I0092,S037,1,Meia,24
I0093,S023,7,Meia,18
I0094,S020,2,Meia,12
I0095,S044,3,Meia,12
I0096,S019,6,Promoção,12
I0097,S068,2,Promoção,12
I0098,S031,1,Meia,18
I0099,S002,6,Inteira,18
I0100,S024,4,Promoção,18
I0101,S016,7,Meia,12
I0102,S035,1,Meia,24
I0103,S074,1,Inteira,18
I0104,S011,7,Inteira,12
I0105,S016,2,Promoção,18
I0106,S057,8,Inteira,24
I0107,S004,8,Meia,12
I0108,S019,8,Promoção,18
I0109,S025,4,Inteira,24
I0110,S058,5,Meia,24
I0111,S065,2,Inteira,24
I0112,S040,3,Inteira,24
I0113,S060,2,Meia,18
I0114,S057,5,Promoção,24
I0115,S014,7,Promoção,24
I0116,S027,8,Meia,12
I0117,S068,7,Promoção,24
I0118,S013,5,Promoção,12
I0119,S025,5,Inteira,24
I0120,S064,7,Promoção,24
I0121,S049,1,Promoção,24
I0122,S036,5,Promoção,12
I0123,S028,3,Meia,24
I0124,S060,7,Inteira,12
I0125,S067,3,Promoção,24
I0126,S009,8,Promoção,18
I0127,S001,6,Inteira,18
I0128,S038,3,Promoção,18
I0129,S078,3,Inteira,12
I0130,S076,3,Promoção,12
I0131,S050,4,Inteira,24
I0132,S032,6,Inteira,24
I0133,S023,5,Inteira,18
I0134,S066,6,Inteira,24
I0135,S067,5,Promoção,24
I0136,S036,1,Meia,12
I0137,S017,2,Inteira,24
I0138,S062,2,Promoção,24
I0139,S057,8,Inteira,12
I0140,S047,2,Promoção,18
I0141,S054,4,Inteira,24
I0142,S029,6,Inteira,24
I0143,S001,1,Promoção,24
I0144,S049,6,Inteira,12
I0145,S018,4,Inteira,24
I0146,S042,7,Promoção,18
I0147,S071,7,Inteira,12
I0148,S046,2,Promoção,24
I0149,S046,2,Promoção,12
I0150,S034,8,Inteira,24
I0151,S008,6,Meia,18
I0152,S064,2,Promoção,24
I0153,S066,5,Meia,18
I0154,S007,8,Inteira,18
I0155,S078,8,Promoção,18
I0156,S007,3,Promoção,18
I0157,S051,2,Promoção,24
I0158,S054,4,Inteira,12
I0159,S018,3,Inteira,18
I0160,S017,2,Inteira,12
I0161,S031,3,Meia,12
I0162,S004,2,Meia,18
I0163,S034,6,Inteira,12
I0164,S057,4,Meia,24
I0165,S017,3,Inteira,24
I0166,S076,7,Promoção,12
I0167,S021,1,Inteira,24
I0168,S049,6,Meia,18
I0169,S038,5,Meia,12
I0170,S017,6,Promoção,12
I0171,S011,8,Inteira,24
I0172,S050,8,Inteira,24
I0173,S056,4,Meia,18
I0174,S006,1,Inteira,12
I0175,S026,4,Inteira,18
I0176,S075,3,Inteira,12
I0177,S014,7,Meia,18
I0178,S079,3,Inteira,12
I0179,S009,4,Promoção,12
I0180,S065,5,Promoção,18
I0181,S022,1,Meia,12
I0182,S035,3,Promoção,18
I0183,S057,4,Meia,18
I0184,S035,3,Meia,24
I0185,S027,7,Inteira,24
I0186,S020,2,Inteira,24
I0187,S051,2,Inteira,18
I0188,S055,3,Promoção,24
I0189,S010,3,Promoção,18
I0190,S005,3,Meia,18
I0191,S021,8,Inteira,12
I0192,S008,7,Meia,18
I0193,S068,6,Inteira,12
I0194,S046,2,Promoção,24
I0195,S040,5,Meia,24
I0196,S018,5,Promoção,24
I0197,S069,1,Promoção,12
I0198,S066,5,Inteira,12
I0199,S003,3,Promoção,24
I0200,S002,3,Inteira,12
I0041,S068,4,Promoção,24
I0042,S037,4,Meia,24
I0043,S025,8,Inteira,18
I0044,S035,6,Inteira,18
I0045,S060,4,Meia,12
I0046,S018,3,Inteira,12
