sessao_id,filme_id,sala,horario,capacidade
S001,F014,Sala 4,14:00,131
S002,F009,Sala 2,19:00,121
S003,F001,Sala 3,19:00,117
S004,F014,Sala 3,16:30,130
S005,F015,Sala 1,16:30,158
S006,F004,Sala 2,21:30,142
S007,F015,Sala 4,14:00,90
S008,F002,Sala 2,14:00,169
S009,F012,Sala 4,21:30,172
S010,F020,Sala 3,16:30,87
S011,F001,Sala 4,16:30,143
S012,F018,Sala 1,21:30,88
S013,F005,Sala 3,14:00,99
S014,F002,Sala 1,21:30,155
S015,F009,Sala 1,16:30,95
S016,F013,Sala 3,19:00,90
S017,F009,Sala 2,21:30,103
S018,F017,Sala 3,21:30,129
S019,F017,Sala 1,19:00,107
S020,F001,Sala 1,14:00,117
S021,F019,Sala 1,21:30,99
S022,F017,Sala 4,19:00,122
S023,F004,Sala 2,19:00,107
S024,F013,Sala 4,21:30,110
S025,F004,Sala 1,21:30,178
S026,F010,Sala 2,16:30,103
S027,F015,Sala 4,16:30,177
S028,F012,Sala 3,19:00,82
S029,F008,Sala 2,14:00,118
S030,F011,Sala 2,14:00,105
S031,F006,Sala 3,14:00,162
S032,F004,Sala 1,14:00,97
S033,F005,Sala 3,21:30,90
S034,F001,Sala 1,16:30,137
S035,F002,Sala 3,14:00,171
S036,F005,Sala 3,19:00,106
S037,F004,Sala 4,14:00,125
S038,F007,Sala 1,14:00,85
S039,F007,Sala 4,21:30,175
S040,F020,Sala 2,21:30,91
S041,F019,Sala 3,14:00,134
S042,F006,Sala 2,16:30,83
S043,F017,Sala 1,16:30,104
S044,F018,Sala 1,16:30,177
S045,F008,Sala 2,14:00,120
S046,F016,Sala 3,21:30,179
S047,F019,Sala 3,19:00,176
S048,F017,Sala 4,16:30,86
S049,F014,Sala 1,21:30,168
S050,F020,Sala 3,21:30,159
S051,F006,Sala 1,21:30,174
S052,F012,Sala 3,21:30,157
S053,F016,Sala 2,21:30,155
S054,F007,Sala 4,21:30,148
S055,F013,Sala 1,14:00,151
S056,F007,Sala 1,14:00,130
S057,F017,Sala 2,16:30,127
S058,F007,Sala 3,14:00,97
S059,F018,Sala 3,16:30,171
S060,F018,Sala 1,14:00,88
S061,F003,Sala 4,21:30,127
S062,F009,Sala 3,19:00,169
S063,F018,Sala 3,16:30,179
S064,F006,Sala 4,21:30,175
S065,F013,Sala 2,16:30,99
S066,F011,Sala 1,16:30,149
S067,F020,Sala 1,14:00,130
S068,F005,Sala 3,19:00,141
S069,F014,Sala 3,21:30,88
S070,F019,Sala 1,14:00,146
S071,F012,Sala 3,14:00,115
S072,F006,Sala 2,16:30,93
S073,F012,Sala 2,19:00,150
S074,F013,Sala 4,19:00,150
S075,F012,Sala 4,21:30,128
S076,F019,Sala 3,16:30,161
S077,F015,Sala 1,16:30,172
S078,F011,Sala 1,14:00,96
S079,F010,Sala 4,21:30,180
S080,F004,Sala 3,14:00,156
