cliente_id,cliente,tipo
C001,Cliente 001,Família
C002,Cliente 002,Corporativo
C003,Cliente 003,Corporativo
C004,Cliente 004,Corporativo
C005,Cliente 005,Corporativo
C006,Cliente 006,Corporativo
C007,Cliente 007,Família
C008,Cliente 008,Família
C009,Cliente 009,Família
C010,Cliente 010,Família
C011,Cliente 011,Corporativo
C012,Cliente 012,Família
C013,Cliente 013,Corporativo
C014,Cliente 014,Corporativo
C015,Cliente 015,Individual
C016,Cliente 016,Corporativo
C017,Cliente 017,Família
C018,Cliente 018,Corporativo
C019,Cliente 019,Corporativo
C020,Cliente 020,Corporativo
C021,Cliente 021,Corporativo
C022,Cliente 022,Corporativo
C023,Cliente 023,Família
C024,Cliente 024,Família
C025,Cliente 025,Individual
C026,Cliente 026,Família
C027,Cliente 027,Família
C028,Cliente 028,Família
C029,Cliente 029,Individual
C030,Cliente 030,Individual
C031,Cliente 031,Família
C032,Cliente 032,Corporativo
C033,Cliente 033,Individual
C034,Cliente 034,Família
C035,Cliente 035,Família
C036,Cliente 036,Individual
C037,Cliente 037,Corporativo
C038,Cliente 038,Família
C039,Cliente 039,Família
C040,Cliente 040,Família
C041,Cliente 041,Corporativo
C042,Cliente 042,Corporativo
C043,Cliente 043,Corporativo
C044,Cliente 044,Corporativo
C045,Cliente 045,Família
C046,Cliente 046,Família
C047,Cliente 047,Família
C048,Cliente 048,Família
C049,Cliente 049,Família
C050,Cliente 050,Individual
C051,Cliente 051,Corporativo
C052,Cliente 052,Corporativo
C053,Cliente 053,Corporativo
C054,Cliente 054,Família
C055,Cliente 055,Individual
C056,Cliente 056,Corporativo
C057,Cliente 057,Corporativo
C058,Cliente 058,Individual
C059,Cliente 059,Individual
C060,Cliente 060,Família
