reserva_id,cliente_id,destino_id,dias,status,valor
R0001,C007,D011,7,Cancelada,3790.1
R0002,C035,D008,5,Cancelada,4253.58
R0003,C021,D008,7,Cancelada,3421.31
R0004,C038,D009,2,Concluída,4054.04
R0005,C019,D003,4,Confirmada,3954.85
R0006,C052,D008,6,Cancelada,1603.61
R0007,C050,D009,4,Confirmada,3325.02
R0008,C006,D001,1,Confirmada,2804.44
R0009,C035,D003,7,Cancelada,1228.66
R0010,C058,D005,7,Confirmada,2496.23
R0011,C051,D007,2,Cancelada,682.06
R0012,C039,D003,7,Concluída,3002.12
R0013,C060,D012,7,Confirmada,5214.36
R0014,C006,D010,7,Confirmada,4403.67
R0015,C028,D008,1,Concluída,2685.63
R0016,C047,D004,6,Concluída,772.06
R0017,C008,D011,6,Concluída,4572.25
R0018,C060,D007,3,Cancelada,3509.33
R0019,C039,D009,3,Cancelada,1694.38
R0020,C028,D006,2,Concluída,2784.46
R0021,C022,D007,5,Confirmada,4975.55
R0022,C014,D009,3,Concluída,4429.53
R0023,C048,D008,7,Concluída,4057.44
R0024,C050,D012,6,Cancelada,5676.01
R0025,C057,D005,6,Cancelada,5200.28
R0026,C046,D002,2,Concluída,4444.22
R0027,C031,D002,6,Confirmada,848.1
R0028,C034,D006,1,Confirmada,2282.06
R0029,C035,D011,1,Concluída,3798.93
R0030,C046,D004,3,Cancelada,2720.75
R0031,C015,D001,5,Concluída,3653.55
R0032,C020,D009,6,Concluída,4836.09
R0033,C042,D004,1,Concluída,5556.34
R0034,C011,D008,2,Confirmada,5824.79
R0035,C021,D006,7,Confirmada,1461.75
R0036,C039,D009,1,Confirmada,3237.93
R0037,C051,D004,4,Concluída,5791.62
R0038,C055,D004,3,Concluída,2122.4
R0039,C025,D009,5,Confirmada,3545.26
R0040,C014,D003,7,Concluída,1846.47
R0041,C006,D002,2,Cancelada,5173.16
R0042,C037,D011,3,Concluída,4761.59
R0043,C003,D001,1,Confirmada,5115.96
R0044,C005,D008,2,Confirmada,801.87
R0045,C054,D001,6,Concluída,3343.63
R0046,C036,D007,6,Concluída,664.59
R0047,C012,D006,7,Concluída,4206.53
R0048,C060,D009,1,Confirmada,577.73
R0049,C019,D006,1,Cancelada,1393.46
R0050,C031,D005,2,Cancelada,3298.3
R0051,C001,D004,7,Concluída,647.13
R0052,C011,D003,5,Confirmada,1132.25
R0053,C050,D002,7,Cancelada,1908.3
R0054,C010,D005,2,Confirmada,2712.55
R0055,C027,D009,4,Cancelada,5373.09
R0056,C005,D005,4,Cancelada,1464.26
R0057,C025,D009,3,Concluída,1200.3
R0058,C041,D007,2,Confirmada,5015.83
R0059,C034,D004,5,Concluída,2633.23
R0060,C001,D001,6,Confirmada,3206.67
R0061,C045,D002,4,Confirmada,4279.22
R0062,C028,D002,1,Confirmada,4741.39
R0063,C036,D005,5,Cancelada,831.11
R0064,C028,D001,7,Cancelada,5421.9
R0065,C028,D005,1,Cancelada,2220.28
R0066,C008,D004,6,Concluída,2578.27
R0067,C024,D002,2,Concluída,3069.7
R0068,C007,D010,3,Confirmada,3436.96
R0069,C023,D012,3,Cancelada,2654.86
R0070,C046,D003,5,Concluída,3369.4
R0071,C052,D012,2,Concluída,4677.45
R0072,C020,D010,1,Concluída,2288.02
R0073,C048,D007,4,Cancelada,915.69
R0074,C024,D009,3,Concluída,1621.79
R0075,C035,D004,7,Concluída,4190.09
R0076,C057,D009,7,Confirmada,2473.06
