ordem_id,pet_id,cliente_id,item_id,quantidade,valor
O0001,P066,C066,I06,1,25
O0002,P047,C047,I04,3,240
O0003,P003,C003,I08,2,110
O0004,P079,C079,I04,2,160
O0005,P021,C021,I02,3,180
O0006,P041,C041,I02,2,120
O0007,P025,C025,I04,3,240
O0008,P047,C047,I04,3,240
O0009,P044,C044,I02,2,120
O0010,P003,C003,I04,2,160
O0011,P022,C022,I04,3,240
O0012,P051,C051,I03,3,270
O0013,P033,C033,I06,1,25
O0014,P002,C002,I08,2,110
O0015,P034,C034,I02,1,60
O0016,P054,C054,I07,3,105
O0017,P022,C022,I01,3,135
O0018,P044,C044,I03,2,180
O0019,P059,C059,I03,2,180
O0020,P029,C029,I08,2,110
O0021,P042,C042,I08,2,110
O0022,P037,C037,I04,1,80
O0023,P066,C066,I04,2,160
O0024,P080,C080,I08,1,55
O0025,P021,C021,I08,3,165
O0026,P074,C074,I03,3,270
O0027,P066,C066,I08,2,110
O0028,P016,C016,I04,3,240
O0029,P051,C051,I06,3,75
O0030,P006,C006,I06,3,75
O0031,P068,C068,I03,1,90
O0032,P078,C078,I07,2,70
O0033,P038,C038,I08,2,110
O0034,P066,C066,I01,3,135
O0035,P013,C013,I03,3,270
O0036,P004,C004,I08,1,55
O0037,P003,C003,I06,1,25
O0038,P062,C062,I05,3,360
O0039,P043,C043,I07,1,35
O0040,P045,C045,I06,2,50
O0041,P010,C010,I04,2,160
O0042,P060,C060,I03,2,180
O0043,P079,C079,I05,3,360
O0044,P048,C048,I04,1,80
O0045,P061,C061,I02,1,60
O0046,P063,C063,I01,1,45
O0047,P008,C008,I02,3,180
O0048,P008,C008,I02,1,60
O0049,P047,C047,I05,3,360
O0050,P008,C008,I06,2,50
O0051,P060,C060,I05,1,120
O0052,P067,C067,I04,1,80
O0053,P041,C041,I03,1,90
O0054,P065,C065,I06,3,75
O0055,P016,C016,I08,1,55
O0056,P030,C030,I04,3,240
O0057,P020,C020,I05,3,360
O0058,P054,C054,I05,2,240
O0059,P080,C080,I05,1,120
O0060,P066,C066,I03,2,180
O0061,P007,C007,I03,1,90
O0062,P056,C056,I02,1,60
O0063,P073,C073,I04,2,160
O0064,P063,C063,I03,3,270
O0065,P046,C046,I04,1,80
O0066,P046,C046,I05,2,240
O0067,P042,C042,I05,2,240
O0068,P003,C003,I01,3,135
O0069,P038,C038,I07,1,35
O0070,P045,C045,I03,3,270
O0071,P048,C048,I03,2,180
O0072,P055,C055,I06,3,75
O0073,P016,C016,I01,2,90
O0074,P063,C063,I07,3,105
O0075,P067,C067,I07,1,35
O0076,P039,C039,I02,3,180
O0077,P044,C044,I01,3,135
O0078,P060,C060,I08,1,55
O0079,P021,C021,I05,1,120
O0080,P066,C066,I06,3,75
O0081,P028,C028,I02,3,180
O0082,P043,C043,I05,3,360
O0083,P046,C046,I01,3,135
O0084,P059,C059,I06,2,50
O0085,P012,C012,I04,1,80
O0086,P075,C075,I01,1,45
O0087,P040,C040,I01,2,90
O0088,P059,C059,I03,1,90
O0089,P076,C076,I04,3,240
O0090,P049,C049,I04,2,160
O0091,P044,C044,I06,2,50
O0092,P006,C006,I05,3,360
O0093,P030,C030,I02,2,120
O0094,P053,C053,I03,1,90
O0095,P054,C054,I05,3,360
O0096,P046,C046,I03,3,270
O0097,P020,C020,I06,1,25
O0098,P026,C026,I01,2,90
O0099,P006,C006,I03,3,270
O0100,P072,C072,I03,2,180
O0101,P008,C008,I02,3,180
O0102,P034,C034,I05,3,360
O0103,P005,C005,I05,1,120
O0104,P049,C049,I08,1,55
O0105,P071,C071,I04,1,80
O0106,P016,C016,I06,1,25
O0107,P037,C037,I07,1,35
O0108,P061,C061,I01,2,90
O0109,P066,C066,I02,1,60
O0110,P017,C017,I04,3,240
O0111,P050,C050,I03,2,180
O0112,P064,C064,I03,1,90
O0113,P007,C007,I02,3,180
O0114,P028,C028,I06,2,50
O0115,P066,C066,I02,1,60
O0116,P021,C021,I06,2,50
O0117,P068,C068,I07,3,105
O0118,P001,C001,I03,1,90
O0119,P061,C061,I03,3,270
O0120,P037,C037,I06,1,25
O0121,P022,C022,I06,1,25
O0122,P068,C068,I06,2,50
O0123,P015,C015,I07,3,105
O0124,P039,C039,I03,2,180
O0125,P005,C005,I05,2,240
O0126,P068,C068,I07,2,70
O0127,P047,C047,I02,3,180
O0128,P077,C077,I06,1,25
O0129,P001,C001,I01,3,135
O0130,P010,C010,I05,2,240
O0131,P020,C020,I04,2,160
O0132,P024,C024,I02,1,60
O0133,P052,C052,I05,2,240
O0134,P079,C079,I02,1,60
O0135,P036,C036,I03,1,90
O0136,P015,C015,I08,3,165
O0137,P019,C019,I06,1,25
O0138,P064,C064,I07,1,35
O0139,P006,C006,I07,3,105
O0140,P061,C061,I06,1,25
O0141,P079,C079,I04,3,240
O0142,P074,C074,I07,2,70
O0143,P062,C062,I06,3,75
O0144,P061,C061,I08,1,55
O0145,P025,C025,I06,3,75
O0146,P017,C017,I01,2,90
O0147,P019,C019,I04,1,80
O0148,P026,C026,I01,2,90
O0149,P026,C026,I06,2,50
O0150,P070,C070,I04,2,160
O0151,P019,C019,I05,1,120
O0152,P076,C076,I03,3,270
O0153,P041,C041,I04,3,240
O0154,P007,C007,I01,3,135
O0155,P045,C045,I07,2,70
O0156,P027,C027,I02,1,60
O0157,P011,C011,I06,3,75
O0158,P010,C010,I01,1,45
O0159,P060,C060,I08,1,55
O0160,P073,C073,I04,3,240
O0161,P018,C018,I01,2,90
O0162,P058,C058,I03,2,180
O0163,P021,C021,I08,3,165
O0164,P048,C048,I04,2,160
O0165,P043,C043,I08,1,55
O0166,P049,C049,I04,3,240
O0167,P067,C067,I02,2,120
O0168,P064,C064,I01,2,90
O0169,P035,C035,I08,3,165
O0170,P079,C079,I03,3,270
O0171,P008,C008,I07,2,70
O0172,P076,C076,I05,1,120
O0173,P020,C020,I03,2,180
O0174,P029,C029,I06,1,25
O0175,P035,C035,I03,1,90
O0176,P042,C042,I08,2,110
O0177,P060,C060,I04,3,240
O0178,P076,C076,I04,2,160
O0179,P005,C005,I02,1,60
O0180,P073,C073,I07,2,70
O0016,P054,C054,I07,3,105
O0017,P022,C022,I01,3,135
O0018,P044,C044,I03,2,180
O0019,P059,C059,I03,2,180
O0020,P029,C029,I08,2,110
