pet_id,cliente_id,pet,especie,raca,idade
P001,C001,Pet 001,Roedor,Siamês,7
P002,C002,Pet 002,Ave,Siamês,6
P003,C003,Pet 003,Roedor,Calopsita,10
P004,C004,Pet 004,Roedor,SRD,10
P005,C005,Pet 005,Gato,Shih-tzu,12
P006,C006,Pet 006,Roedor,SRD,6
P007,C007,Pet 007,Gato,Poodle,9
P008,C008,Pet 008,Gato,Persa,8
P009,C009,Pet 009,Cão,Shih-tzu,3
P010,C010,Pet 010,Cão,Calopsita,11
P011,C011,Pet 011,Cão,Siamês,4
P012,C012,Pet 012,Ave,Hamster,7
P013,C013,Pet 013,Ave,Hamster,11
P014,C014,Pet 014,Ave,Poodle,4
P015,C015,Pet 015,Roedor,Calopsita,10
P016,C016,Pet 016,Gato,Labrador,9
P017,C017,Pet 017,Gato,Shih-tzu,11
P018,C018,Pet 018,Cão,Poodle,9
P019,C019,Pet 019,Ave,Labrador,5
P020,C020,Pet 020,Ave,SRD,1
P021,C021,Pet 021,Cão,Hamster,13
P022,C022,Pet 022,Gato,Siamês,5
P023,C023,Pet 023,Ave,Shih-tzu,10
P024,C024,Pet 024,Gato,Labrador,11
P025,C025,Pet 025,Ave,Poodle,9
P026,C026,Pet 026,Ave,Calopsita,3
P027,C027,Pet 027,Roedor,Siamês,7
P028,C028,Pet 028,Cão,Siamês,14
P029,C029,Pet 029,Ave,Hamster,2
P030,C030,Pet 030,Cão,Calopsita,9
P031,C031,Pet 031,Gato,Siamês,12
P032,C032,Pet 032,Cão,Shih-tzu,10
P033,C033,Pet 033,Gato,Poodle,12
P034,C034,Pet 034,Roedor,Labrador,7
P035,C035,Pet 035,Roedor,Calopsita,5
P036,C036,Pet 036,Roedor,Shih-tzu,6
P037,C037,Pet 037,Ave,SRD,13
P038,C038,Pet 038,Roedor,Labrador,2
P039,C039,Pet 039,Gato,Hamster,5
P040,C040,Pet 040,Roedor,Siamês,12
P041,C041,Pet 041,Gato,Persa,7
P042,C042,Pet 042,Cão,Persa,7
P043,C043,Pet 043,Roedor,Labrador,2
P044,C044,Pet 044,Cão,Shih-tzu,3
P045,C045,Pet 045,Ave,Persa,11
P046,C046,Pet 046,Ave,SRD,10
P047,C047,Pet 047,Cão,Persa,12
P048,C048,Pet 048,Ave,Siamês,6
P049,C049,Pet 049,Ave,Siamês,11
P050,C050,Pet 050,Roedor,Siamês,1
P051,C051,Pet 051,Ave,Shih-tzu,4
P052,C052,Pet 052,Ave,Persa,4
P053,C053,Pet 053,Cão,Poodle,12
P054,C054,Pet 054,Cão,Hamster,11
P055,C055,Pet 055,Gato,SRD,9
P056,C056,Pet 056,Cão,Poodle,5
P057,C057,Pet 057,Gato,Shih-tzu,10
P058,C058,Pet 058,Ave,Persa,7
P059,C059,Pet 059,Roedor,Labrador,11
P060,C060,Pet 060,Cão,Poodle,12
P061,C061,Pet 061,Cão,Hamster,6
P062,C062,Pet 062,Roedor,Poodle,2
P063,C063,Pet 063,Roedor,Shih-tzu,1
P064,C064,Pet 064,Ave,Siamês,11
P065,C065,Pet 065,Gato,Calopsita,6
P066,C066,Pet 066,Cão,SRD,5
P067,C067,Pet 067,Cão,Poodle,2
P068,C068,Pet 068,Gato,Labrador,9
P069,C069,Pet 069,Ave,Siamês,5
P070,C070,Pet 070,Roedor,Siamês,3
P071,C071,Pet 071,Roedor,Labrador,9
P072,C072,Pet 072,Roedor,SRD,9
P073,C073,Pet 073,Cão,Calopsita,2
P074,C074,Pet 074,Roedor,Shih-tzu,11
P075,C075,Pet 075,Gato,Hamster,11
P076,C076,Pet 076,Ave,Hamster,7
P077,C077,Pet 077,Ave,Persa,6
P078,C078,Pet 078,Ave,Hamster,9
P079,C079,Pet 079,Gato,Poodle,6
P080,C080,Pet 080,Ave,Calopsita,2
